Jupiter,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
CS,1433527.5,1433528.614,1433528.737,-788,10,15,5.69861,9.65683,-1.59928,194.45513,92.8889,0,273.63661,-5.00177
EL,1433706.5,1433707.173,1433707.297,-787,4,11,19.1225,24.1702,-0.87803,13.15235,100.42208,0,103.58116,-10.59663
MF,1433748.5,1433748.546,1433748.67,-787,5,23,4.07806,33.70286,-0.82829,52.65207,255.40012,0,239.37494,-10.28123
AR,1433916.5,1433917.111,1433917.234,-787,11,7,17.62056,46.03639,-0.84027,218.09997,250.64315,0,76.38448,-5.55237
CS,1433927.5,1433928.635,1433928.758,-787,11,19,6.195,44.47361,-0.81329,229.86488,108.82617,0,287.98511,-5.38701
EL,1434107.5,1434108.191,1434108.314,-786,5,17,19.54,58.45756,-0.24777,47.3268,114.00229,0,118.58671,-10.15668
MF,1434144.5,1434144.535,1434144.658,-786,6,23,3.8,66.60408,-0.18498,81.94147,243.92077,0,232.61259,-10.43137
AR,1434314.5,1434315.101,1434315.224,-786,12,10,17.37556,79.04678,0.16711,251.53914,241.49436,0,66.61958,-5.49591
CS,1434326.5,1434327.653,1434327.777,-786,12,23,6.63833,77.36966,0.19902,264.32405,118.35711,0,294.56594,-5.83778
EL,1434504.5,1434505.209,1434505.332,-785,6,18,19.96972,90.46048,0.43372,77.57842,119.41335,0,126.95742,-10.48125
MF,1434538.5,1434538.544,1434538.668,-785,7,22,4.0275,97.76601,0.48667,109.55047,240.81032,0,234.62965,-10.06481
AR,1434711.5,1434712.109,1434712.233,-784,1,11,17.58361,110.39904,1.07288,283.79852,241.77155,0,65.81933,-5.32687
CS,1434724.5,1434725.659,1434725.782,-784,1,25,6.77306,108.62305,1.0987,297.43427,118.5859,0,291.57132,-5.45709
EL,1434899.5,1434900.212,1434900.335,-784,7,17,20.05083,120.98532,0.96816,106.10283,115.61874,0,126.34523,-10.42218
MF,1434933.5,1434933.563,1434933.687,-784,8,20,4.47861,128.20844,1.00001,138.54344,246.51847,0,243.83284,-10.03308
AR,1435107.5,1435108.127,1435108.251,-783,2,10,18.01944,140.81404,1.64938,314.62074,250.33819,0,73.62697,-5.5031
CS,1435122.5,1435123.642,1435123.766,-783,2,26,6.38194,138.82308,1.66093,329.94812,110.45671,0,280.50173,-5.26003
EL,1435293.5,1435294.199,1435294.322,-783,8,15,19.7275,150.80294,1.22909,134.02492,105.0087,0,118.28925,-10.4188
MF,1435329.5,1435329.581,1435329.704,-783,9,20,4.90028,158.48041,1.23243,169.04496,258.42655,0,257.50333,-10.5957
AR,1435503.5,1435504.144,1435504.267,-782,3,13,18.42,171.0561,1.77597,344.88968,263.74418,0,86.55716,-5.76892
CS,1435520.5,1435521.611,1435521.735,-782,3,31,5.63472,168.84913,1.76548,1.83009,97.30033,0,265.42892,-5.57536
EL,1435688.5,1435689.173,1435689.296,-782,9,14,19.10944,180.96138,1.15465,163.3994,90.80048,0,105.10141,-10.36548
MF,1435724.5,1435724.599,1435724.722,-782,10,20,5.33806,188.7733,1.12609,199.05185,272.98656,0,272.31821,-10.31801
AR,1435900.5,1435901.159,1435901.282,-781,4,14,18.76861,201.91248,1.41178,15.59468,278.8087,0,101.45333,-5.9102
CS,1435916.5,1435917.583,1435917.706,-781,5,1,4.945,199.84122,1.38359,31.30906,82.10405,0,251.80004,-5.2464
EL,1436085.5,1436086.143,1436086.267,-781,10,16,18.40222,212.29677,0.74569,195.30416,75.89621,0,89.46376,-10.35501
MF,1436120.5,1436120.619,1436120.742,-781,11,20,5.81167,220.10358,0.69345,230.41069,287.32045,0,285.11751,-10.09503
AR,1436299.5,1436300.174,1436300.297,-780,5,17,19.13889,234.05298,0.60528,47.83661,292.2867,0,115.08125,-5.58779
CS,1436313.5,1436314.56,1436314.683,-780,6,1,4.39806,232.22492,0.56917,61.52127,68.24161,0,240.69912,-5.47975
EL,1436485.5,1436486.121,1436486.244,-780,11,19,17.86361,245.54058,0.08681,230.6675,64.03783,0,74.88844,-10.23417
MF,1436519.5,1436519.638,1436519.762,-780,12,23,6.28028,253.35953,0.02574,264.86267,297.51944,0,291.84203,-10.02096
AR,1436700.5,1436701.189,1436701.312,-779,6,22,19.48806,267.94299,-0.45207,81.90447,299.41075,0,122.61728,-5.13936
CS,1436711.5,1436712.557,1436712.681,-779,7,4,4.33889,266.47193,-0.48219,92.78169,60.59127,0,237.01896,-5.22672
EL,1436887.5,1436888.12,1436888.244,-779,12,26,17.85306,280.66503,-0.62716,268.15347,60.898,0,68.18016,-10.2206
MF,1436924.5,1436924.639,1436924.762,-778,2,1,6.29917,289.36342,-0.68625,304.95929,297.93853,0,286.30216,-10.47866
AR,1437102.5,1437103.188,1437103.311,-778,7,29,19.46944,303.54591,-1.39678,117.24361,295.3987,0,119.33164,-5.12205
CS,1437112.5,1437113.573,1437113.697,-778,8,9,4.72444,302.17319,-1.41539,127.34237,64.18028,0,243.47402,-5.31233
EL,1437290.5,1437291.138,1437291.262,-777,2,2,18.28333,317.08412,-1.12292,306.21479,69.50609,0,73.80389,-10.0552
MF,1437331.5,1437331.612,1437331.736,-777,3,15,5.6525,326.75279,-1.15799,346.11425,286.66308,0,270.02391,-10.10883
AR,1437504.5,1437505.164,1437505.288,-777,9,4,18.90861,340.0277,-1.819,153.23752,281.51174,0,106.18688,-5.25396
CS,1437514.5,1437515.596,1437515.719,-777,9,15,5.25944,338.62277,-1.82042,163.6028,77.83869,0,258.62683,-5.24279
EL,1437692.5,1437693.159,1437693.282,-776,3,10,18.77861,353.46643,-1.18745,342.50326,85.54859,0,88.59394,-10.60263
MF,1437736.5,1437736.572,1437736.696,-776,4,23,4.69444,3.68035,-1.17489,24.40467,269.51165,0,251.31197,-10.15316
AR,1437905.5,1437906.132,1437906.255,-776,10,9,18.12,16.0902,-1.53208,188.9966,264.00395,0,89.08079,-5.19141
CS,1437915.5,1437916.617,1437916.74,-776,10,20,5.75944,14.66311,-1.51639,199.61693,95.34609,0,275.94036,-5.14605
EL,1438094.5,1438095.176,1438095.299,-775,4,16,19.18083,29.09643,-0.80324,18.04509,102.67203,0,105.96439,-10.58552
MF,1438135.5,1438135.545,1438135.668,-775,5,27,4.03167,38.35914,-0.75007,56.5446,253.42815,0,238.22472,-10.12586
AR,1438304.5,1438305.107,1438305.23,-775,11,12,17.52722,50.73091,-0.7063,223.28168,248.88753,0,74.22349,-5.25304
CS,1438315.5,1438316.637,1438316.76,-775,11,24,6.24194,49.17062,-0.6782,235.05228,110.62686,0,289.33836,-5.77906
EL,1438494.5,1438495.195,1438495.318,-774,5,21,19.63472,62.94479,-0.15327,51.22651,115.27644,0,120.36934,-10.56876
MF,1438531.5,1438531.535,1438531.659,-774,6,27,3.80472,71.06118,-0.0897,85.85286,242.94181,0,232.37921,-10.41478
