Modern Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-759,7,14,8.32997,-758,7,25,23.69449,-758,8,27,6.22678,-758,9,28,17.05468,1444027.76398,1444404.40417,1444436.67635,1444469.12751,104.23723,105.14599,102.7292,104.23723,333.68066,302.53195,113.7264,115.47127,327.28022,319.44484,145.23489,147.28022,321.04489,336.45153,177.53598,179.26559
-757,8,18,22.44816,-756,9,14,13.34921,-756,10,22,6.98302,-756,11,27,12.55898,1444793.35224,1445185.97312,1445223.70786,1445259.94019,138.83652,146.36809,136.81053,138.83652,32.16069,352.12905,163.88128,165.82187,23.01498,11.90471,201.87341,203.01498,14.81592,30.893,238.81519,238.72725
-755,9,28,14.21693,-754,10,23,10.09998,-754,12,2,14.86283,-753,1,10,4.28525,1445565.00927,1445954.83773,1445995.03618,1446033.59545,179.41749,190.77066,177.68916,179.41749,73.30277,35.06819,202.53079,203.6505,63.27196,56.13501,243.52161,243.27196,54.18991,76.34278,282.73545,281.27776
-753,11,25,16.532,-752,11,26,3.35553,-751,1,6,3.1907,-751,2,14,21.79956,1446353.10573,1446719.55671,1446760.54984,1446800.32521,236.20191,243.78864,236.1954,236.20191,107.85396,75.83473,237.4361,237.393,97.79773,97.31802,279.16454,277.79773,88.36175,118.16311,319.00458,317.00218
-750,2,11,14.86182,-750,12,31,22.24231,-749,2,10,6.56172,-749,3,22,5.45652,1447162.03614,1447485.34366,1447525.6903,1447565.64425,313.52125,307.72508,315.50917,313.52125,141.49828,117.16096,273.40233,272.18814,131.95566,138.30544,313.93108,311.95566,122.4913,159.24412,353.1487,351.33612
-748,4,13,8.51356,-747,2,11,8.34202,-747,3,21,4.84932,-747,4,28,21.51809,1447953.77163,1448257.76448,1448295.61895,1448334.31349,13.89247,2.65017,15.22725,13.89247,179.15928,161.96381,315.51325,313.52193,170.83305,181.80221,352.65537,350.83305,161.89441,202.08087,29.87266,28.97217
-746,5,26,17.89776,-745,4,11,5.23647,-745,5,13,21.9581,-745,6,17,10.6871,1448727.16264,1449046.63508,1449079.33182,1449113.86219,56.18252,47.96146,56.17648,56.18252,229.30597,215.3875,12.48802,11.06938,223.2968,232.52289,43.73835,43.2968,216.3662,250.61923,76.60754,77.33154
-744,6,30,21.87289,-743,6,29,2.67907,-743,7,28,22.14741,-743,8,28,23.095,1449493.32827,1449856.52853,1449886.33971,1449917.37919,91.35091,89.48615,90.19595,91.35091,303.84983,279.82863,88.24107,89.33793,298.72121,295.45179,116.9309,118.72121,293.31008,311.71866,147.27809,149.31517
-742,8,4,18.14266,-741,8,28,16.22534,-741,10,3,17.78778,-741,11,7,14.77348,1450258.17284,1450647.09295,1450683.15806,1450718.03246,125.2172,130.31851,123.33117,125.2172,12.45081,334.14001,146.5172,148.5549,4.10234,353.04066,182.47074,184.10234,356.52648,11.3173,217.83793,218.47617
-740,9,11,4.09218,-739,10,9,3.89682,-739,11,17,15.05564,-739,12,25,10.02773,1451026.58741,1451419.57927,1451459.04422,1451496.83472,162.60224,173.0218,160.63119,162.60224,58.67777,18.97718,188.45452,189.95325,48.85173,39.65959,228.57375,228.85173,40.02897,59.46447,267.1226,266.09981
