Venus,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
ML,1436227.5,1436227.636,1436227.76,-780,3,6,6.23722,327.25558,-1.42993,338.06299,286.76101,0,277.07664,-5.02741
EF,1436287.5,1436288.166,1436288.289,-780,5,5,18.94583,41.70474,-0.06639,36.40031,108.65787,0,110.23711,-5.06496
EL,1436556.5,1436557.124,1436557.247,-779,1,29,17.92861,306.56983,8.11375,302.69438,76.74657,0,70.42332,-6.39801
MF,1436558.5,1436558.658,1436558.781,-779,1,31,6.75056,305.60769,8.25197,304.22797,283.36986,0,289.94565,-5.18291
ML,1436826.5,1436826.62,1436826.744,-779,10,26,5.84417,200.38754,0.89235,205.44145,278.69057,0,278.57855,-5.13066
EF,1436878.5,1436879.1,1436879.223,-779,12,17,17.36083,266.41838,-1.01756,258.97546,59.9221,0,65.39188,-5.15647
EL,1437124.5,1437125.177,1437125.3,-778,8,20,19.19917,159.30459,-7.88673,138.69826,91.07174,0,112.44244,-5.36212
MF,1437143.5,1437143.593,1437143.716,-778,9,8,5.18528,149.82045,-8.41006,156.88113,265.41803,0,255.64931,-5.00386
ML,1437398.5,1437398.568,1437398.691,-777,5,21,4.58694,41.16156,-0.57558,50.37479,252.13889,0,244.42121,-5.07994
EF,1437452.5,1437453.191,1437453.314,-777,7,14,19.54528,108.41926,1.27392,102.52306,118.83172,0,122.10357,-5.07003
EL,1437722.5,1437723.154,1437723.277,-776,4,9,18.65056,15.58218,5.61218,11.54045,103.65999,0,98.89801,-5.01612
MF,1437727.5,1437727.596,1437727.72,-776,4,14,5.27639,12.78182,4.81704,15.80551,258.5569,0,258.60262,-5.68533
ML,1437992.5,1437992.66,1437992.784,-775,1,4,6.80556,270.20141,-0.69876,277.084,299.73904,0,295.0087,-5.0535
EF,1438042.5,1438043.133,1438043.257,-775,2,23,18.15889,333.07684,-1.34853,327.53211,75.85976,0,78.38772,-5.11696
EL,1438301.5,1438302.109,1438302.233,-775,11,9,17.58306,232.11012,-2.49794,220.22277,64.63724,0,75.50247,-5.45559
MF,1438313.5,1438313.633,1438313.756,-775,11,21,6.14333,225.40262,0.38656,231.98448,289.65417,0,288.00521,-6.3845
ML,1438577.5,1438577.576,1438577.699,-774,8,12,4.78278,125.27625,1.29161,130.29891,245.24799,0,244.60244,-5.14543
EF,1438627.5,1438628.139,1438628.262,-774,10,1,18.29722,188.61286,0.76924,180.44672,86.69878,0,93.14037,-5.08809
EL,1438884.5,1438885.191,1438885.314,-773,6,15,19.53694,84.17533,-2.72531,74.78882,115.31815,0,122.78651,-6.31803
MF,1438898.5,1438898.557,1438898.681,-773,6,29,4.33583,76.27832,-5.35935,87.55335,248.61515,0,237.18563,-5.01779
ML,1439147.5,1439147.638,1439147.762,-772,3,4,6.27667,325.445,-1.42199,336.15241,287.51288,0,277.93952,-5.02326
EF,1439207.5,1439208.165,1439208.289,-772,5,3,18.92778,39.91355,-0.10951,34.54237,107.91871,0,109.50688,-5.13284
EL,1439476.5,1439477.121,1439477.244,-771,1,27,17.85694,303.98302,8.03763,300.73502,75.92144,0,69.55331,-5.88842
MF,1439478.5,1439478.657,1439478.781,-771,1,29,6.74,303.01783,8.1815,302.27312,284.17184,0,290.30438,-5.47672
