Jupiter,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1433345.5,1433345.582,1433345.706,-788,4,15,4.93222,357.91414,-1.20091,16.66102,271.94959,-0.5667,255.40909,-9.62207
AR,1433514.5,1433515.144,1433515.267,-788,10,1,18.4075,11.48071,-1.61407,180.85426,265.88676,-0.5667,93.93245,-6.57655
CS,1433529.5,1433530.61,1433530.733,-788,10,17,5.59167,9.38778,-1.59512,196.47637,93.1386,-0.5667,273.48208,-6.69016
EL,1433711.5,1433712.165,1433712.289,-787,4,16,18.93222,25.32343,-0.86965,17.94124,101.32643,-0.5667,103.75387,-7.59477
MF,1433745.5,1433745.551,1433745.675,-787,5,20,4.19583,33.02661,-0.83047,49.80099,255.29846,-0.5667,241.02653,-9.53165
AR,1433914.5,1433915.115,1433915.238,-787,11,5,17.71778,46.30193,-0.84406,216.0652,250.15666,-0.5667,77.73383,-6.38318
CS,1433929.5,1433930.63,1433930.754,-787,11,21,6.09028,44.20541,-0.80775,231.90358,109.12978,-0.5667,287.57272,-7.01599
EL,1434111.5,1434112.185,1434112.308,-786,5,21,19.39944,59.35198,-0.24041,51.12796,114.66626,-0.5667,118.17824,-8.0128
MF,1434141.5,1434141.539,1434141.663,-786,6,20,3.90611,65.94122,-0.18988,79.08223,243.65347,-0.5667,233.87878,-9.4037
AR,1434312.5,1434313.105,1434313.228,-786,12,8,17.47333,79.30944,0.16185,249.5023,241.04716,-0.5667,67.73191,-6.62384
CS,1434327.5,1434328.652,1434328.776,-786,12,24,6.61389,77.23777,0.20146,265.33967,118.77012,-0.5667,294.34947,-6.23107
EL,1434510.5,1434511.198,1434511.322,-785,6,24,19.72361,91.76666,0.44215,83.29613,119.8402,-0.5667,124.75843,-7.48797
MF,1434536.5,1434536.546,1434536.67,-785,7,20,4.07417,97.33077,0.48304,107.62202,240.3537,-0.5667,234.93031,-9.34197
AR,1434709.5,1434710.113,1434710.237,-784,1,9,17.68444,110.65742,1.06786,281.78335,241.4022,-0.5667,66.54145,-6.75324
CS,1434726.5,1434727.655,1434727.778,-784,1,27,6.67722,108.36715,1.10124,299.43502,119.06078,-0.5667,290.41557,-6.45093
EL,1434906.5,1434907.199,1434907.322,-784,7,24,19.72861,122.48625,0.9721,112.85189,115.61552,-0.5667,122.3811,-7.51423
MF,1434932.5,1434932.563,1434932.687,-784,8,19,4.47722,127.99236,0.99856,137.56139,246.04155,-0.5667,243.56923,-9.86756
AR,1435106.5,1435107.129,1435107.252,-783,2,9,18.0475,140.94166,1.64766,313.62857,249.99373,-0.5667,73.60618,-6.00408
CS,1435125.5,1435126.636,1435126.759,-783,3,1,6.21472,138.45329,1.65993,332.88765,110.99836,-0.5667,278.34753,-6.62102
EL,1435301.5,1435302.182,1435302.305,-783,8,23,19.32944,152.5157,1.22565,141.85897,104.63843,-0.5667,112.81756,-7.53595
MF,1435327.5,1435327.583,1435327.706,-783,9,18,4.95056,158.04706,1.23095,167.04845,257.84819,-0.5667,257.21184,-9.62909
AR,1435502.5,1435503.145,1435503.269,-782,3,12,18.45,171.18188,1.77542,343.91647,263.42974,-0.5667,86.43645,-6.28271
