Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EL,1437722.28,-776,4,8,18.72167,16.17144,5.75629,10.62113,103.76906,0,98.91333,-6.35262
MF,1437727.721,-776,4,14,5.30639,12.75581,4.80873,15.8454,258.84498,0,259.04604,-5.71023
ML,1437992.78,-775,1,4,6.71278,270.24703,-0.70001,277.12091,298.98939,0,294.47907,-5.23942
EF,1438043.258,-775,2,23,18.20167,333.12899,-1.34801,327.57356,76.21511,0,78.54684,-5.22038
EL,1438303.232,-775,11,10,17.57806,231.57685,-2.26159,221.28406,65.70553,0,74.98084,-5.01899
MF,1438313.753,-775,11,21,6.08028,225.38097,0.39618,232.02298,289.16505,0,287.76185,-6.50477
ML,1438577.702,-774,8,12,4.86,125.3305,1.29229,130.34142,245.87032,0,245.44075,-5.15665
EF,1438626.264,-774,9,29,18.32889,186.15408,0.83283,178.47709,87.99411,0,93.81348,-5.08423
EL,1438886.306,-773,6,16,19.33861,83.60078,-2.96682,75.77317,114.37389,0,120.94213,-5.19571
MF,1438898.683,-773,6,29,4.39639,76.25586,-5.36522,87.59432,249.14063,0,237.86979,-5.50728
ML,1439149.759,-772,3,6,6.21556,327.96016,-1.43177,338.14806,286.07365,0,277.07428,-5.00394
EF,1439208.286,-772,5,3,18.87583,39.9604,-0.108,34.57877,107.51199,0,108.90218,-5.2006
EL,1439477.246,-771,1,27,17.89361,303.9569,8.04202,300.77693,76.25015,0,69.63854,-5.58076
MF,1439478.779,-771,1,29,6.69444,302.9936,8.18463,302.31156,283.84162,0,290.13606,-5.28609
ML,1439745.74,-771,10,23,5.77111,197.32589,0.95476,202.48505,277.04326,0,277.21073,-5.24386
EF,1439797.225,-771,12,13,17.41139,262.11956,-0.92701,254.99381,61.02248,0,66.16717,-5.02307
EL,1440046.297,-770,8,19,19.11806,156.51067,-8.01191,137.80709,92.12233,0,111.80385,-5.03575
MF,1440063.714,-770,9,6,5.12472,147.19404,-8.45207,154.98672,264.51923,0,254.69855,-5.96874
ML,1440320.695,-769,5,21,4.66806,41.88266,-0.539,50.47326,252.25255,0,245.25699,-5.0274
EF,1440372.31,-769,7,11,19.44667,105.42698,1.23572,99.73148,118.53268,0,121.37887,-5.08735
EL,1440642.278,-768,4,6,18.6675,13.8377,5.94535,8.75688,102.88753,0,97.74226,-5.88972
MF,1440646.725,-768,4,11,5.39583,11.0373,5.20564,13.03033,259.22151,0,260.54502,-5.41419
ML,1440912.779,-767,1,2,6.70389,268.4175,-0.66183,275.15624,298.93631,0,294.60952,-5.21317
EF,1440962.256,-767,2,20,18.15389,330.08689,-1.37304,324.68049,74.8826,0,77.27329,-5.04065
EL,1441222.234,-767,11,7,17.61444,229.33707,-2.76062,218.2838,65.86288,0,76.10195,-5.01305
MF,1441232.755,-767,11,18,6.11028,223.18584,-0.14089,229.02121,288.99212,0,287.35779,-5.60435
ML,1441497.702,-766,8,10,4.8425,123.52495,1.27347,128.45397,245.36105,0,244.87635,-5.06741
EF,1441545.266,-766,9,26,18.38806,183.07347,0.89862,175.52856,89.51263,0,95.19339,-5.05383
EL,1441805.309,-765,6,13,19.42028,81.81618,-2.4993,72.98531,114.81969,0,121.43429,-6.37252
MF,1441818.682,-765,6,27,4.36278,73.92889,-5.15544,85.74996,249.1909,0,237.68096,-5.82384
ML,1442068.761,-764,3,3,6.25833,324.9333,-1.41959,335.27654,287.30211,0,278.22771,-5.1823
EF,1442127.285,-764,4,30,18.82972,36.95916,-0.19038,31.78534,106.26184,0,107.6035,-5.00091
EL,1442397.243,-763,1,25,17.82528,301.38244,7.95693,298.83454,75.48382,0,68.83582,-5.06777
MF,1442398.778,-763,1,27,6.68,300.41616,8.1051,300.37304,284.58475,0,290.45131,-5.60248
