Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
EL,1438303.234,-775,11,10,17.62639,231.57579,-2.26112,221.28611,66.08145,-0.5667,75.34055,-5.61742
MF,1438313.751,-775,11,21,6.03389,225.38208,0.39569,232.021,288.80373,-0.5667,287.42143,-7.07293
ML,1438575.698,-774,8,10,4.74278,122.83313,1.25898,128.38485,244.8039,-0.5667,244.03694,-6.20727
EF,1438629.264,-774,10,2,18.33917,189.92114,0.7344,181.49548,86.47144,-0.5667,92.95212,-6.01634
EL,1438886.308,-773,6,16,19.38694,83.59964,-2.96728,75.77509,114.7522,-0.5667,121.34871,-5.7262
MF,1438898.681,-773,6,29,4.34917,76.25689,-5.36496,87.59244,248.77108,-0.5667,237.47062,-6.01832
ML,1439146.758,-772,3,3,6.18222,324.25548,-1.41582,335.20796,287.21145,-0.5667,277.6712,-6.16202
EF,1439209.29,-772,5,4,18.955,41.19202,-0.06829,35.53574,108.38241,-0.5667,109.85649,-6.02876
EL,1439477.247,-771,1,27,17.93861,303.95573,8.04222,300.77881,76.60273,-0.5667,69.97005,-6.12512
MF,1440063.712,-770,9,6,5.08056,147.19508,-8.45227,154.9849,264.17442,-0.5667,254.3378,-6.51474
ML,1440316.693,-769,5,17,4.64389,36.98568,-0.68633,46.66734,253.92202,-0.5667,245.87018,-6.0102
EF,1440374.314,-769,7,13,19.53111,107.90688,1.27416,101.6574,118.58981,-0.5667,121.90092,-6.02144
EL,1440642.28,-768,4,6,18.7125,13.83655,5.94509,8.75868,103.23996,-0.5667,98.10253,-6.46294
MF,1440646.723,-768,4,11,5.35083,11.03849,5.206,13.02853,258.87017,-0.5667,260.18725,-5.98186
ML,1440911.776,-767,1,1,6.62472,267.16136,-0.62663,274.13963,298.47743,-0.5667,294.12449,-6.0637
EF,1440964.261,-767,2,22,18.26444,332.57129,-1.35055,326.65694,76.32242,-0.5667,78.72247,-6.13994
EL,1441222.236,-767,11,7,17.6625,229.33605,-2.76018,218.28584,66.23833,-0.5667,76.46234,-5.61379
MF,1441232.753,-767,11,18,6.06389,223.18697,-0.14139,229.01923,288.63118,-0.5667,287.01442,-6.17316
ML,1441495.697,-766,8,8,4.72528,121.0287,1.23792,126.49949,244.32749,-0.5667,243.49624,-6.11371
EF,1441549.266,-766,9,30,18.38667,188.09472,0.77164,179.54814,87.3629,-0.5667,93.93151,-6.10463
EL,1441806.306,-765,6,14,19.35167,81.25265,-2.73286,73.93576,114.87583,-0.5667,120.92433,-5.5171
