Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
AR,1434041.276,-786,3,11,18.63319,172.60775,2.83986,342.94519,263.12919,-0.5667,87.24907,-8.62571
CS,1434069.717,-786,4,9,5.21139,170.51548,2.83406,10.47977,97.8478,-0.5667,259.784,-8.50194
EL,1434227.295,-786,9,13,19.07142,175.99643,2.35035,162.41447,94.74872,-0.5667,104.68657,-10.17041
MF,1434256.709,-786,10,13,5.0136,179.46418,2.35197,191.95791,266.88648,-0.5667,267.57027,-13.25837
AR,1434418.281,-785,3,23,18.75336,184.14564,2.85601,354.38924,268.55324,-0.5667,92.66245,-8.73399
CS,1434446.707,-785,4,21,4.95673,182.07438,2.84183,21.75376,92.40657,-0.5667,254.5879,-8.35831
EL,1434604.284,-785,9,25,18.81101,187.4789,2.32077,174.15525,89.31077,-0.5667,98.99226,-10.05884
MF,1434633.714,-785,10,25,5.12644,190.92647,2.31553,203.88338,272.29934,-0.5667,272.78927,-13.71646
AR,1434795.286,-784,4,3,18.85817,195.50405,2.76016,5.75616,273.92398,-0.5667,98.07026,-8.67982
CS,1434823.695,-784,5,2,4.68963,193.45004,2.73812,32.97787,86.99114,-0.5667,249.4582,-8.56017
EL,1434980.275,-784,10,5,18.60793,198.71685,2.20174,184.97045,84.02107,-0.5667,93.97019,-10.35841
MF,1435009.72,-784,11,4,5.28884,202.15123,2.18882,214.84293,277.52033,-0.5667,277.59834,-13.44247
AR,1435172.29,-783,4,15,18.95746,206.73872,2.55987,17.06042,279.10509,-0.5667,103.3341,-8.51069
CS,1435199.687,-783,5,13,4.4937,204.76463,2.53291,43.22203,81.71324,-0.5667,245.36834,-8.46362
EL,1435357.265,-783,10,17,18.3554,209.98586,1.99796,196.85028,78.9119,-0.5667,88.22291,-10.09157
MF,1435385.727,-783,11,15,5.45227,213.30016,1.97955,225.82582,282.46689,-0.5667,281.83219,-13.22974
AR,1435549.294,-782,4,27,19.05967,217.90616,2.26429,28.32017,283.96391,-0.5667,108.3161,-8.27367
CS,1435575.68,-782,5,24,4.3147,216.00732,2.23354,53.45765,76.7379,-0.5667,241.66111,-8.57888
EL,1435733.258,-782,10,28,18.18748,221.10363,1.72015,207.76773,74.22528,-0.5667,83.51908,-10.33248
