Mars,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EL,1438523.5,1438524.214,1438524.338,-774,6,19,20.10279,92.96194,1.13689,78.8592,120.24738,0,128.288,-11.67909
MF,1438602.5,1438602.569,1438602.692,-774,9,6,4.61141,143.26301,1.12257,154.89858,251.9314,0,249.93702,-11.51978
AR,1438979.5,1438980.155,1438980.278,-773,9,18,18.67026,352.57196,-3.73635,167.18531,277.68059,0,100.21396,-6.04491
CS,1438987.5,1438988.598,1438988.722,-773,9,27,5.32545,349.65319,-3.27308,175.64017,81.42534,0,263.59949,-6.46615
EL,1439282.5,1439283.217,1439283.341,-772,7,17,20.17767,123.08733,1.15059,106.19164,115.23901,0,127.56622,-11.70103
MF,1439372.5,1439372.592,1439372.715,-772,10,15,5.16905,182.83949,0.62813,194.54794,270.6823,0,269.32633,-11.64747
AR,1439753.5,1439754.118,1439754.242,-771,10,31,17.80114,42.70787,0.63623,211.09007,250.14748,0,79.84153,-6.46512
CS,1439766.5,1439767.626,1439767.75,-771,11,14,5.99688,37.45706,1.19466,224.86082,108.44464,0,285.32493,-6.82264
EL,1440043.5,1440044.201,1440044.325,-770,8,17,19.79432,155.53852,0.76886,135.83358,102.39188,0,118.50917,-11.51568
MF,1440156.5,1440156.625,1440156.748,-770,12,8,5.9617,236.49994,-0.38418,249.12366,294.20075,0,289.03368,-11.53981
AR,1440520.5,1440521.105,1440521.228,-769,12,7,17.48368,80.43425,3.2765,248.34605,237.45836,0,68.03047,-6.74152
CS,1440535.5,1440536.65,1440536.774,-769,12,23,6.56873,74.3128,3.64354,264.18639,122.24111,0,294.03876,-6.60695
EL,1440814.5,1440815.165,1440815.288,-768,9,26,18.92171,197.46209,-0.07322,175.99725,81.58859,0,99.765,-11.61602
MF,1441005.5,1441005.586,1441005.709,-767,4,5,5.02485,344.12989,-1.00483,6.97267,278.69735,0,258.8162,-11.52728
AR,1441286.5,1441287.113,1441287.236,-766,1,11,17.67125,113.78908,4.51773,284.43567,238.21871,0,66.5238,-6.2461
CS,1441302.5,1441303.655,1441303.778,-766,1,28,6.68303,107.36985,4.57815,301.06217,123.14339,0,290.11979,-6.25303
EL,1441637.5,1441638.126,1441638.249,-766,12,28,17.98721,284.25243,-1.1186,270.02585,60.71024,0,69.04597,-11.62299
MF,1441785.5,1441785.54,1441785.664,-765,5,25,3.93343,33.89511,-0.15742,54.25136,254.55991,0,237.68967,-11.56252
AR,1442053.5,1442054.134,1442054.258,-764,2,17,18.18538,148.7055,4.3458,320.95977,250.54629,0,76.6239,-6.47977
CS,1442070.5,1442071.633,1442071.757,-764,3,6,6.16114,142.14505,4.02787,338.17176,111.86774,0,276.43321,-5.9403
EL,1442443.5,1442444.164,1442444.288,-763,3,13,18.90072,357.2676,-0.44118,345.28805,88.19794,0,90.65456,-11.73674
MF,1442546.5,1442546.53,1442546.654,-763,6,24,3.69007,67.11419,0.56798,83.31034,242.89716,0,231.42887,-11.52787
AR,1442828.5,1442829.153,1442829.277,-762,4,2,18.64518,190.78326,2.0216,4.42715,272.95934,0,96.05742,-5.90814
