Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
AR,1440522.229,-769,12,8,17.49004,80.038,3.31141,249.40785,238.29095,0,67.6644,-6.02516
CS,1440535.773,-769,12,22,6.55726,74.67945,3.63126,263.20934,121.45167,0,294.18134,-5.75916
EL,1440820.283,-768,10,1,18.78172,201.13978,-0.13002,181.0566,80.06436,0,96.60518,-11.55381
MF,1440998.717,-767,3,29,5.21835,338.92342,-1.03605,0.26849,280.89138,0,262.77174,-11.52311
AR,1441287.24,-766,1,11,17.76853,113.77233,4.51855,284.48046,239.02804,0,67.03288,-6.5405
CS,1441302.778,-766,1,27,6.66337,107.72421,4.58804,300.10041,122.23856,0,290.38742,-5.82475
EL,1441641.253,-766,12,31,18.06735,286.65237,-1.11814,273.11471,61.79108,0,69.06557,-11.50176
MF,1441782.67,-765,5,22,4.07545,31.87341,-0.18793,51.4403,255.78545,0,239.92699,-11.61368
AR,1442054.26,-764,2,17,18.23943,148.68999,4.34567,321.00188,251.00526,0,76.81405,-6.65494
CS,1442071.754,-764,3,6,6.09195,142.13198,4.02666,338.20841,111.34296,0,276.10923,-6.57227
EL,1442445.287,-763,3,14,18.8956,358.01687,-0.43059,346.30088,88.60401,0,90.57082,-11.55991
MF,1442545.658,-763,6,23,3.79854,66.49352,0.55925,82.39764,243.70955,0,232.8864,-11.73678
AR,1442829.276,-762,4,2,18.63304,190.77006,2.02007,4.46554,272.88665,0,95.75519,-5.96763
CS,1442843.717,-762,4,17,5.21702,185.76397,1.35634,18.34768,88.73796,0,257.63315,-6.10833
EL,1443224.308,-761,5,2,19.40055,45.03318,0.48112,33.02516,110.03804,0,112.82591,-11.6943
MF,1443305.667,-761,7,23,4.00191,97.60827,1.04005,110.7377,240.86985,0,234.81869,-11.71923
AR,1443624.307,-760,6,5,19.36819,251.34831,-4.25967,66.11319,301.67265,0,120.27869,-6.60047
CS,1443631.682,-760,6,13,4.35888,249.33213,-4.70104,73.1344,58.1667,0,238.83016,-6.00716
EL,1443992.327,-759,6,8,19.85673,81.65014,1.03543,68.75492,119.06753,0,124.92623,-11.55349
MF,1444067.686,-759,8,23,4.47379,129.74866,1.18012,141.46665,247.38489,0,244.94947,-11.52534
AR,1444436.296,-758,8,26,19.09312,327.42652,-5.68624,144.77753,291.01782,0,109.81076,-6.15435
CS,1444442.709,-758,9,2,5.01382,325.44095,-5.38515,151.11199,68.48487,0,252.50134,-6.70876
EL,1444753.336,-757,7,9,20.05573,112.97417,1.18576,97.92428,117.14341,0,126.91972,-11.5585
MF,1444835.707,-757,9,30,4.96318,166.99881,0.8789,178.79352,262.96401,0,262.14022,-11.79863
AR,1445218.252,-756,10,16,18.04011,25.13665,-0.81381,196.25658,259.33291,0,86.00122,-5.93343
CS,1445229.737,-756,10,28,5.69629,20.78294,-0.26151,207.91637,99.34894,0,278.46309,-7.08331
EL,1445513.327,-755,8,7,19.8528,144.26274,0.94872,126.46057,107.04495,0,120.72355,-11.5426
MF,1445610.732,-755,11,13,5.56046,212.21617,0.07478,223.96915,284.47861,0,282.15575,-11.52455
AR,1445987.23,-754,11,24,17.52973,66.39883,2.47827,235.46668,241.4435,0,70.92089,-6.00733
CS,1446000.763,-754,12,8,6.32119,61.05121,2.88734,249.28404,117.77869,0,291.99539,-6.53892
EL,1446279.3,-753,9,12,19.20826,181.55321,0.27768,161.40738,89.56468,0,106.14438,-11.61192
MF,1446429.754,-752,2,10,6.08596,296.0785,-1.09199,313.63802,296.35467,0,282.98198,-11.53667
AR,1446752.235,-752,12,28,17.65196,101.09724,4.19471,270.65681,237.32706,0,66.27559,-6.83428
CS,1446767.777,-751,1,13,6.65786,95.00666,4.38326,286.38155,123.38347,0,292.89499,-6.22689
EL,1447078.251,-751,11,19,18.01267,247.60057,-0.88468,230.65986,63.09399,0,75.61012,-11.54234
MF,1447245.682,-750,5,6,4.3585,15.64122,-0.52589,36.56106,263.2616,0,245.72109,-11.59626
AR,1447518.253,-749,2,2,18.06894,134.8423,4.59686,306.44499,245.22207,0,71.9565,-6.8085
CS,1447534.768,-749,2,19,6.42363,128.53006,4.45725,322.84132,116.80811,0,282.98294,-5.81269
EL,1447899.277,-748,2,18,18.6518,334.13443,-0.80713,322.12307,77.24309,0,80.18728,-11.67762
MF,1448012.66,-748,6,11,3.83634,54.01741,0.29739,71.29876,247.21946,0,234.41751,-11.71056
AR,1448289.27,-747,3,14,18.48293,173.15512,3.28184,346.40455,263.2594,0,87.41391,-6.25296
CS,1448305.732,-747,3,31,5.56457,167.21042,2.71775,2.36402,98.91832,0,264.92841,-6.47804
EL,1448686.3,-746,4,15,19.20359,28.84442,0.16287,17.11154,103.33072,0,105.39866,-11.55285
MF,1448772.662,-746,7,11,3.88422,85.57232,0.88774,99.52736,240.87364,0,233.11984,-11.67172
AR,1449074.292,-745,5,8,19.00332,224.84806,-1.32538,38.85693,290.93177,0,111.26223,-6.12658
CS,1449084.692,-745,5,19,4.61457,221.66549,-1.9885,48.76174,69.48468,0,245.16479,-5.97469
EL,1449457.321,-744,5,25,19.70256,68.2792,0.86854,55.78629,117.01849,0,121.56822,-11.67916
MF,1449533.678,-744,8,10,4.28018,117.01828,1.17141,129.0831,243.7743,0,240.14703,-11.57299
AR,1449886.312,-743,7,28,19.49454,298.75163,-6.84009,116.82382,302.54282,0,119.42808,-6.38939
CS,1449890.694,-743,8,2,4.66679,297.55231,-6.79404,121.07382,57.19785,0,242.01549,-5.94774
EL,1450220.335,-742,6,27,20.03191,101.00442,1.17281,86.78994,118.99209,0,127.27731,-11.64919
MF,1450298.699,-742,9,14,4.78433,151.61773,1.05688,163.13807,255.88584,0,254.74917,-11.51284
AR,1450678.271,-741,9,28,18.50061,5.91592,-2.66715,177.47344,270.07129,0,95.4816,-7.01517
CS,1450688.73,-741,10,9,5.52234,2.13836,-2.11119,188.00338,88.74875,0,270.07841,-6.08924
EL,1450980.333,-740,7,26,19.98172,131.89931,1.08839,115.16581,111.7918,0,124.02455,-11.5569
MF,1451070.721,-740,10,25,5.29659,193.22418,0.44589,204.96863,275.71264,0,274.46681,-11.6875
AR,1451451.238,-739,11,9,17.70305,51.95698,1.39177,220.52351,246.59441,0,76.13911,-6.47481
CS,1451464.754,-739,11,23,6.08541,46.6569,1.89621,234.32054,112.21886,0,288.25079,-6.82895
EL,1451742.314,-738,8,27,19.533,165.4886,0.6005,145.93396,97.43278,0,113.25206,-11.66031
MF,1451861.754,-738,12,25,6.09588,253.30505,-0.65735,266.71232,297.63955,0,290.85822,-11.61141
AR,1452218.229,-737,12,16,17.50153,88.00799,3.70232,257.78624,237.35896,0,66.43688,-5.99486
CS,1452232.774,-737,12,31,6.56686,82.2714,3.97568,272.57523,122.70601,0,293.83697,-6.59487
EL,1452522.271,-736,10,15,18.49688,215.02107,-0.39533,195.40903,73.85939,0,89.79428,-11.59107
MF,1452703.701,-735,4,15,4.81297,355.14079,-0.86483,16.84836,273.21551,0,254.70848,-11.58149
AR,1452983.245,-734,1,19,17.87068,121.6046,4.60885,292.76878,240.90136,0,68.40827,-6.5603
CS,1452999.773,-734,2,5,6.54036,115.21976,4.59464,309.31124,120.72851,0,287.37432,-6.45572
EL,1453349.262,-733,1,20,18.29373,306.1164,-1.07107,293.54543,66.36593,0,71.49066,-11.54348
MF,1453478.665,-733,5,30,3.95777,40.54875,-0.00199,59.28364,252.14899,0,237.38137,-11.65958
AR,1453751.264,-732,2,26,18.33876,157.48417,4.05909,330.11526,255.17403,0,80.41184,-6.58578
CS,1453767.749,-732,3,14,5.98186,151.35133,3.67849,346.24939,107.11493,0,272.90837,-5.83541
EL,1454145.292,-731,3,26,19.018,9.97666,-0.21079,358.19158,94.4603,0,96.29868,-11.6447
MF,1454239.659,-731,6,29,3.82442,73.41042,0.68734,88.37288,242.30404,0,232.74066,-11.58145
AR,1454529.281,-730,4,14,18.74218,202.40546,1.0108,16.25362,279.25654,0,101.26598,-5.90249
CS,1454542.707,-730,4,28,4.96186,197.90491,0.29768,29.10879,81.98512,0,252.68764,-6.2864
EL,1454921.313,-729,5,11,19.51872,54.04025,0.63999,41.8563,113.18241,0,116.56611,-11.72872
MF,1455000.671,-729,7,30,4.09451,105.00699,1.10488,117.75523,241.57122,0,236.47155,-11.75063
AR,1455331.314,-728,6,24,19.53032,268.35224,-5.79321,84.48327,305.23949,0,122.80616,-6.52561
CS,1455336.682,-728,6,30,4.37534,266.92359,-6.01947,89.61885,54.51254,0,237.59134,-5.83314
EL,1455687.331,-727,6,15,19.93991,89.04783,1.10225,75.67977,119.47271,0,126.23021,-11.61299
MF,1455763.691,-727,8,31,4.58848,137.91143,1.15479,149.59848,250.26991,0,248.40794,-11.59666
AR,1456138.283,-726,9,9,18.79416,342.45681,-4.58526,158.86453,283.13386,0,103.45168,-5.81385
CS,1456145.717,-726,9,17,5.19814,340.00973,-4.18085,166.26582,76.18485,0,259.30993,-6.84318
EL,1456447.336,-725,7,15,20.06023,119.7636,1.16823,103.94341,115.53526,0,126.34316,-11.68007
MF,1456532.712,-725,10,9,5.08096,176.33803,0.74298,188.10468,267.47874,0,266.65824,-11.76157
AR,1456915.246,-724,10,25,17.89365,35.77253,0.07311,205.62307,253.9186,0,81.98399,-6.18217
CS,1456926.747,-724,11,6,5.92761,31.32379,0.5838,217.33086,104.83414,0,283.06912,-5.77232
EL,1457208.323,-723,8,14,19.74836,151.99058,0.83961,133.5358,103.71457,0,118.22198,-11.56162
MF,1457311.739,-723,11,26,5.7428,225.42361,-0.17546,237.48983,289.82423,0,286.3673,-11.56877
AR,1457683.229,-722,12,2,17.50469,74.80738,2.9883,243.87137,239.32397,0,68.86634,-6.14087
CS,1457696.77,-722,12,16,6.47819,69.44731,3.34709,257.68654,120.21234,0,293.5848,-5.93664
EL,1457978.29,-721,9,23,18.95897,192.74438,0.05117,172.61433,84.08474,0,100.69463,-11.53656
MF,1458148.732,-720,3,12,5.57701,323.92474,-1.12112,344.37812,287.36892,0,270.33217,-11.54355
AR,1458448.239,-719,1,5,17.7243,108.84233,4.40541,278.99724,238.19006,0,66.6026,-6.76019
CS,1458463.778,-719,1,21,6.67691,102.77148,4.5259,294.66799,122.87677,0,291.5951,-5.90693
EL,1458790.248,-719,12,13,17.96016,270.23886,-1.06992,255.38053,60.56774,0,70.02155,-11.56432
MF,1458942.675,-718,5,15,4.18902,25.31083,-0.33426,45.37775,258.73562,0,242.20476,-11.54327
AR,1459215.255,-717,2,11,18.12578,142.93118,4.47897,315.63188,248.47463,0,74.51115,-6.07696
CS,1459231.76,-717,2,28,6.24393,136.67656,4.24121,331.93451,113.68864,0,279.08097,-6.14857
EL,1459602.283,-716,3,4,18.80038,348.83523,-0.59403,337.11511,84.12306,0,86.35528,-11.52362
MF,1459706.659,-716,6,17,3.82737,61.05373,0.4451,77.26025,245.10706,0,233.62918,-11.52777
AR,1459987.276,-715,3,24,18.61476,183.4741,2.63647,356.35172,268.81523,0,92.36025,-6.71818
CS,1460002.725,-715,4,9,5.39728,178.00155,2.01606,11.26296,93.09994,0,261.05033,-5.93162
EL,1460384.305,-714,4,25,19.31958,38.7813,0.35414,26.92606,107.57588,0,110.02904,-11.60754
MF,1460467.664,-714,7,18,3.94599,92.99733,0.98321,106.50402,240.71176,0,233.97283,-11.77319
AR,1460778.299,-713,5,24,19.17235,239.54177,-2.98109,54.33259,297.48957,0,116.62916,-5.93804
CS,1460786.685,-713,6,2,4.43152,237.13497,-3.52144,62.30836,62.54402,0,241.02951,-6.07005
EL,1461153.325,-712,6,2,19.80294,76.39346,0.97241,63.6407,118.45225,0,123.79498,-11.63666
MF,1461229.683,-712,8,18,4.38739,125.09273,1.18453,137.1465,245.92783,0,243.01326,-11.76013
AR,1461591.304,-711,8,14,19.29386,315.7325,-6.37478,133.60011,296.4829,0,114.26877,-6.34696
CS,1461596.703,-711,8,20,4.88127,314.14995,-6.18592,138.89249,63.14781,0,247.73877,-6.29903
EL,1461915.335,-710,7,4,20.05077,108.38649,1.18712,93.73271,118.00554,0,127.16532,-11.54778
MF,1461995.704,-710,9,23,4.89111,160.69562,0.96361,172.36097,259.9874,0,259.09367,-11.67083
AR,1462377.259,-709,10,9,18.22493,17.65699,-1.57219,188.76868,263.47617,0,89.78894,-6.46314
CS,1462388.733,-709,10,21,5.5991,13.3883,-0.98854,200.38099,95.20439,0,275.18618,-7.06185
EL,1462674.331,-708,8,1,19.93471,138.82704,1.01958,121.22599,109.2333,0,122.50666,-11.70852
MF,1462769.727,-708,11,5,5.43827,204.50293,0.23596,216.39826,281.02005,0,279.18636,-11.75749
AR,1463148.232,-707,11,18,17.56041,60.70833,2.06772,229.9309,243.28449,0,72.54311,-5.91279
CS,1463161.758,-707,12,2,6.20141,55.37409,2.51312,243.74637,115.75594,0,290.56347,-7.03845
EL,1463439.306,-706,9,5,19.34107,174.93465,0.42191,155.06306,92.83774,0,109.09887,-11.58709
MF,1463572.759,-705,1,17,6.21699,275.057,-0.92929,290.22655,299.13979,0,289.15045,-11.51176
AR,1463914.231,-705,12,24,17.53493,95.81293,4.02615,266.16148,237.11056,0,65.76492,-5.87981
CS,1463928.777,-704,1,8,6.63834,90.0847,4.23741,280.91476,123.31539,0,293.5182,-6.27948
EL,1464228.258,-704,11,2,18.19374,232.3235,-0.67992,213.91665,67.30515,0,81.71222,-11.59959
MF,1464404.688,-703,4,28,4.51139,8.09746,-0.67085,29.52984,266.91169,0,248.77416,-11.63488
AR,1464679.249,-702,1,27,17.98786,129.56784,4.62481,301.0327,243.35076,0,70.38861,-6.69128
CS,1464695.77,-702,2,13,6.47864,123.21853,4.53751,317.49661,118.54394,0,284.83199,-6.05895
EL,1465054.271,-701,2,6,18.51595,322.98328,-0.9414,310.79675,72.45948,0,76.15153,-11.65941
MF,1465173.662,-701,6,6,3.88979,48.44993,0.16963,66.18805,249.14586,0,235.6245,-11.59101
AR,1465448.27,-700,3,6,18.47239,166.83878,3.66237,339.18183,259.89328,0,84.61608,-7.05478
CS,1465464.741,-700,3,23,5.78711,160.79592,3.19178,355.22337,102.38148,0,268.75848,-5.75883
EL,1465845.297,-699,4,7,19.12504,21.6707,0.01238,10.01144,100.0398,0,101.94682,-11.50439
MF,1465934.66,-699,7,6,3.84995,80.92325,0.81031,95.3182,241.27205,0,232.78165,-11.69512
AR,1466230.287,-698,4,27,18.88362,215.0597,-0.22564,28.94316,285.96476,0,107.06029,-6.02222
CS,1466241.699,-698,5,9,4.7851,211.40412,-0.90678,39.83422,74.7768,0,248.58321,-5.80118
EL,1466618.318,-697,5,20,19.62808,62.93408,0.78186,50.66684,115.74852,0,119.79556,-11.61609
MF,1466695.675,-697,8,6,4.2013,112.40701,1.15066,124.79005,242.78694,0,238.59017,-11.7165
AR,1467039.313,-696,7,14,19.52182,285.69945,-6.72018,103.89669,305.17107,0,121.55558,-5.94736
CS,1467043.686,-696,7,19,4.46143,284.54146,-6.76989,108.10763,54.59418,0,238.68623,-6.46653
EL,1467382.333,-695,6,22,20.00002,96.4266,1.15012,82.60058,119.33657,0,126.99666,-11.60104
MF,1467459.696,-695,9,8,4.70525,146.15291,1.10609,157.75298,253.54655,0,252.16282,-11.57063
AR,1467838.273,-694,9,21,18.5412,356.31608,-3.44152,171.04319,275.42124,0,97.79777,-5.82971
CS,1467846.724,-694,9,30,5.38709,353.37533,-2.97397,179.51528,83.69381,0,265.82134,-6.48094
EL,1468142.334,-693,7,22,20.01391,127.21933,1.12826,110.92943,113.35867,0,124.98296,-11.54618
MF,1468229.717,-693,10,18,5.20916,185.83644,0.58518,197.43408,272.12148,0,271.15162,-11.57218
AR,1468612.239,-692,11,3,17.73992,45.55479,0.88467,214.99529,249.32229,0,78.02412,-6.0695
CS,1468624.751,-692,11,16,6.01242,40.66646,1.38872,227.75836,109.45775,0,286.37353,-6.53779
