Mercury,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EL,1430604.269,-796,10,12,18.44803,212.20249,-2.50692,191.94522,72.66753,0,90.49754,-10.08873
MF,1430620.728,-796,10,29,5.46156,198.59131,1.82591,208.65161,276.67304,0,276.92249,-10.21996
ML,1430661.75,-796,12,9,6.00545,238.93623,-0.74788,250.51545,294.70519,0,289.84234,-10.54754
EF,1430695.253,-795,1,11,18.0692,296.07833,-1.30095,284.53588,63.39598,0,69.15916,-10.10092
EL,1430718.268,-795,2,3,18.43194,318.15751,3.53515,307.62465,75.63728,0,74.80931,-11.0734
MF,1430730.755,-795,2,16,6.11809,308.02764,2.87231,320.02124,288.50859,0,281.49215,-10.16185
ML,1430769.723,-795,3,27,5.36163,336.8794,-2.4875,358.12836,283.38367,0,264.55596,-10.33527
EF,1430800.302,-795,4,26,19.25225,38.17962,1.51805,27.50397,108.65023,0,109.66944,-10.73409
EL,1430843.325,-795,6,8,19.79135,82.94396,-3.00689,68.47485,114.28719,0,124.3083,-10.90868
MF,1430865.664,-795,7,1,3.93214,73.20422,-3.21631,89.80126,246.99638,0,233.69052,-10.51034
ML,1430885.672,-795,7,21,4.1252,97.82008,1.21039,109.03442,240.67476,0,235.81044,-10.18805
EF,1430922.309,-795,8,26,19.42564,162.8437,-0.40787,144.76914,97.5568,0,112.61697,-10.1201
EL,1430951.285,-795,9,24,18.83801,195.82198,-3.05297,173.58532,79.3154,0,99.38435,-10.2415
MF,1430970.716,-795,10,14,5.18382,181.96165,1.25543,193.16481,269.58163,0,269.35552,-11.27014
ML,1431007.74,-795,11,20,5.77078,220.3961,-0.09485,230.85686,287.90481,0,285.26804,-10.12702
EF,1431045.248,-795,12,27,17.96321,282.23199,-1.57645,269.09956,60.6457,0,68.53622,-10.64713
EL,1431066.26,-794,1,17,18.243,301.34904,3.05397,290.34522,69.80465,0,70.78155,-11.3734
MF,1431077.761,-794,1,29,6.26165,290.77416,3.52741,301.8804,291.9825,0,287.10593,-10.58893
ML,1431119.737,-794,3,12,5.68857,323.15842,-2.3584,343.33717,289.06258,0,271.51232,-10.38767
EF,1431149.293,-794,4,10,19.03677,22.05394,1.1505,11.93527,101.45202,0,101.99427,-10.16889
EL,1431190.314,-794,5,21,19.5258,63.19276,-1.97318,51.1065,112.57402,0,119.00859,-10.43883
MF,1431214.665,-794,6,15,3.96008,55.77378,-3.4902,74.28694,251.08811,0,235.19703,-10.23076
ML,1431233.666,-794,7,4,3.9898,79.95281,0.5834,92.44081,241.62154,0,234.13527,-10.04075
EF,1431263.325,-794,8,2,19.8015,136.2607,0.86565,121.05087,110.01232,0,121.34537,-10.24736
EL,1431300.299,-794,9,8,19.17791,180.09095,-3.35038,157.37966,86.3719,0,107.04523,-10.17799
MF,1431319.71,-794,9,28,5.03629,166.1514,0.36607,176.77111,263.12349,0,261.95023,-10.56171
ML,1431351.727,-794,10,30,5.44758,198.68606,0.78976,209.16955,277.83667,0,276.98913,-10.47902
EF,1431394.244,-794,12,11,17.85349,266.84046,-1.89818,252.56492,59.59391,0,69.69283,-10.31688
EL,1431415.25,-793,1,1,17.99956,284.56707,2.51164,273.9297,65.8474,0,68.56685,-10.58671
MF,1431425.761,-793,1,12,6.25914,273.73796,3.71749,284.56298,293.59632,0,290.33576,-10.96972
ML,1431469.749,-793,2,25,5.97216,309.73975,-2.21135,328.42083,293.81003,0,278.04678,-10.39046
EF,1431499.289,-793,3,26,18.93375,7.91596,0.86715,357.24068,94.65433,0,95.24136,-10.69412
