Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
AR,1434421.274,-785,3,26,18.58391,183.92614,2.85816,357.28745,268.79139,0,92.49257,-6.20964
CS,1434441.719,-785,4,16,5.25621,182.42042,2.84978,16.97768,91.90822,0,258.32788,-6.00942
EL,1434600.292,-785,9,21,19.00877,187.01946,2.32505,170.15455,89.18672,0,101.84633,-11.47004
MF,1434631.72,-785,10,23,5.28377,190.6949,2.31442,201.85759,272.5369,0,273.28066,-11.37314
AR,1434798.279,-784,4,6,18.68897,195.28643,2.7613,8.63675,274.16778,0,97.86679,-6.17894
CS,1434817.711,-784,4,26,5.05812,193.86411,2.74876,27.2654,86.4688,0,253.96146,-5.57439
EL,1434977.281,-784,10,2,18.74467,198.37382,2.20552,181.95328,83.8342,0,96.01644,-11.30909
MF,1435007.727,-784,11,2,5.44652,201.92058,2.18831,212.81208,277.76539,0,278.13889,-11.10035
AR,1435175.283,-783,4,18,18.78873,206.52218,2.55998,19.92838,279.36008,0,103.04864,-6.03719
CS,1435194.7,-783,5,8,4.79366,205.10959,2.54241,38.46986,81.22761,0,248.99278,-5.97464
EL,1435354.27,-783,10,14,18.49079,209.6429,2.00206,193.81764,78.70983,0,90.23475,-11.09913
MF,1435384.731,-783,11,14,5.55399,213.18527,1.97957,224.80957,282.77181,0,282.30872,-11.7804
AR,1435552.287,-782,4,30,18.89165,217.69015,2.26338,31.17894,284.2354,0,107.90504,-5.83755
CS,1435570.692,-782,5,19,4.61495,216.35368,2.2432,48.71182,76.26052,0,245.18838,-5.96059
EL,1435730.263,-782,10,25,18.32089,220.76062,1.72457,204.72187,74.00092,0,85.47477,-11.41221
MF,1435760.739,-782,11,25,5.72523,224.30543,1.69627,235.80168,287.31607,0,285.92914,-11.5371
AR,1435929.292,-781,5,12,19.00373,228.85022,1.88195,42.389,288.65295,0,112.30576,-5.65458
CS,1435946.686,-781,5,30,4.46772,227.58586,1.86009,58.94327,71.74093,0,241.9323,-6.04599
EL,1436107.255,-781,11,6,18.129,232.00413,1.37969,216.68281,69.76776,0,80.37553,-11.20345
MF,1436136.746,-781,12,6,5.90613,235.4454,1.34824,246.79518,291.29492,0,288.803,-11.15708
AR,1436306.297,-780,5,23,19.12694,240.06189,1.42759,53.58108,292.45348,0,116.11091,-5.54031
CS,1436322.682,-780,6,9,4.36664,238.86695,1.40493,69.17602,67.82961,0,239.4226,-6.15009
EL,1436484.25,-780,11,17,17.98914,243.31057,0.97989,228.67166,66.23207,0,75.95816,-11.037
MF,1436513.752,-780,12,17,6.03804,246.77137,0.94557,258.78665,294.56294,0,290.49707,-11.3549
AR,1436683.302,-779,6,4,19.25822,251.38762,0.91367,64.778,295.45802,0,119.17666,-5.54374
CS,1436698.68,-779,6,20,4.32599,250.26011,0.89097,79.42959,64.70832,0,237.8622,-6.17892
EL,1436860.249,-779,11,28,17.97188,254.61753,0.53901,239.65821,63.59917,0,73.09177,-11.62749
MF,1436890.757,-779,12,29,6.16958,258.2215,0.50115,270.74582,296.89263,0,291.16399,-11.16715
AR,1437060.308,-778,6,16,19.38883,262.89277,0.35562,75.98367,297.47414,0,121.3715,-5.72037
CS,1437074.682,-778,7,1,4.35805,261.83031,0.33356,89.71214,62.57428,0,237.452,-6.00769
EL,1437238.246,-778,12,11,17.91217,266.32376,0.06721,252.67782,62.00512,0,70.08935,-11.0305
MF,1437268.76,-777,1,11,6.23065,269.9635,0.02839,283.66543,298.1049,0,290.26974,-11.27606
AR,1437437.313,-777,6,28,19.50465,274.63617,-0.22831,87.21147,298.31585,0,122.57545,-6.09116
CS,1437450.686,-777,7,12,4.46993,273.63696,-0.24922,100.03507,61.62013,0,238.33754,-5.50049
EL,1437615.249,-777,12,23,17.98614,278.12591,-0.41451,264.65181,61.66621,0,69.04604,-11.31231
MF,1437647.758,-776,1,25,6.20377,282.0437,-0.45609,297.50324,298.0172,0,287.64947,-11.53997
AR,1437815.313,-776,7,10,19.51908,286.59507,-0.81833,99.43951,297.85306,0,122.01499,-5.88281
CS,1437828.688,-776,7,24,4.51786,285.58364,-0.83877,112.335,61.97267,0,239.56585,-6.36493
EL,1437993.253,-775,1,4,18.07358,290.30092,-0.88923,277.6001,62.68563,0,69.03183,-11.05966
MF,1438026.755,-775,2,7,6.13072,294.38565,-0.93126,311.23671,296.54351,0,283.92211,-11.29496
AR,1438193.312,-775,7,23,19.4898,298.88907,-1.38772,111.73431,296.02232,0,120.23957,-5.94855
CS,1438205.696,-775,8,5,4.70566,297.93995,-1.40558,123.7442,63.71931,0,242.81188,-5.90235
EL,1438371.259,-774,1,17,18.21746,302.76483,-1.3338,290.48247,65.07789,0,70.62554,-11.05508
MF,1438406.748,-774,2,22,5.94465,307.14283,-1.3762,325.84401,293.6744,0,278.58588,-11.2628
AR,1438572.306,-774,8,6,19.34059,311.47829,-1.90945,125.07973,292.8801,0,116.55188,-5.5797
CS,1438583.703,-774,8,18,4.87446,310.59189,-1.92359,136.21206,66.8055,0,246.97378,-5.93687
EL,1438749.267,-773,1,30,18.39988,315.54112,-1.7242,303.28654,68.7538,0,73.71268,-11.35052
MF,1438787.735,-773,3,10,5.64422,320.33998,-1.76622,341.29442,289.50265,0,271.77972,-11.49872
AR,1438950.301,-773,8,19,19.21253,324.5392,-2.3487,137.54263,288.49618,0,112.64591,-6.10623
CS,1438961.712,-773,8,31,5.07869,323.63844,-2.36027,148.77634,71.12792,0,252.28003,-5.5345
EL,1439128.273,-772,2,13,18.54929,328.76526,-2.03547,316.98929,73.59522,0,77.95865,-11.13369
MF,1439167.723,-772,3,24,5.3559,333.74482,-2.07161,355.63597,284.31116,0,265.24404,-11.15282
AR,1439330.288,-772,9,2,18.90608,337.83997,-2.67771,152.07203,283.16175,0,106.29868,-5.5322
CS,1439340.718,-772,9,13,5.23317,337.00375,-2.684,162.43276,76.45749,0,258.18906,-5.80245
EL,1439507.28,-771,2,26,18.71104,342.306,-2.24297,330.57314,79.33179,0,83.3569,-11.2529
MF,1439548.707,-771,4,9,4.97507,347.58749,-2.27119,10.82475,278.26246,0,257.74316,-11.37518
AR,1439709.277,-771,9,16,18.64275,351.59191,-2.86248,165.74097,277.02587,0,100.20163,-5.68741
CS,1439719.725,-771,9,27,5.40282,350.74303,-2.86454,176.20442,82.5736,0,264.6666,-5.80015
EL,1439886.287,-770,3,12,18.88211,356.13487,-2.32644,344.04839,85.68713,0,89.5933,-11.67769
MF,1439928.693,-770,4,24,4.63875,1.59121,-2.3409,24.96146,271.7545,0,251.05834,-11.34329
AR,1440088.265,-770,9,30,18.37015,5.66833,-2.88175,179.51281,270.4162,0,93.81447,-5.88688
CS,1440098.733,-770,10,11,5.58725,4.80876,-2.87944,190.06956,89.18301,0,271.34774,-5.59219
EL,1440266.292,-769,3,27,19.00954,10.33022,-2.27164,358.39098,92.41322,0,96.31379,-11.51616
MF,1440307.682,-769,5,8,4.3664,15.69657,-2.2693,38.08589,265.11569,0,245.43541,-11.12527
AR,1440467.254,-769,10,14,18.10724,19.99004,-2.72426,193.38305,263.67238,0,87.4137,-6.09068
CS,1440478.738,-769,10,26,5.71787,19.04033,-2.71642,205.03256,95.91192,0,277.67133,-6.33845
EL,1440646.298,-768,4,10,19.15383,24.69101,-2.07618,12.62057,99.09926,0,103.23241,-11.5365
MF,1440686.672,-768,5,21,4.11815,29.94896,-2.05716,51.17137,258.64302,0,240.37413,-11.17806
AR,1440847.242,-768,10,28,17.80477,34.37294,-2.39341,208.3538,257.2092,0,80.465,-5.60097
CS,1440857.748,-768,11,8,5.94131,33.50008,-2.38182,219.05463,102.45386,0,283.6446,-5.92414
EL,1441026.305,-767,4,25,19.3176,39.13076,-1.74956,26.76661,105.35957,0,109.96666,-11.61688
MF,1441065.663,-767,6,4,3.91469,44.26104,-1.71588,64.25341,252.72137,0,236.16501,-11.49404
