Almagest Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-757,8,19,7.27318,-756,9,14,3.07813,-756,10,22,12.10776,-756,11,27,4.68598,1444793.80305,1445185.62826,1445224.00449,1445259.69525,141.77387,148.94459,139.47878,141.77387,34.59737,354.28439,165.61969,167.97061,25.79558,14.39583,204.22003,205.79558,18.38509,33.09992,240.77661,240.97366
-755,9,28,8.35389,-754,10,24,10.76728,-754,12,3,19.53458,-753,1,12,6.9575,1445564.84808,1445955.94864,1445996.31394,1446035.7899,181.74305,193.01822,179.56247,181.74305,76.70873,37.97827,205.69677,207.22556,67.01102,59.1321,247.07623,247.01103,57.94859,79.81986,287.51776,285.91992
-753,11,24,1.84227,-752,11,27,4.89722,-751,1,7,4.57851,-751,2,17,2.31509,1446351.57676,1446720.70405,1446761.69077,1446802.59646,237.17059,245.31103,236.80941,237.17059,111.3434,78.75577,240.79937,240.99547,101.39343,100.23526,282.84128,281.39343,91.51889,121.67229,324.05191,321.71152
-750,2,8,21.58298,-749,1,1,14.11993,-749,2,10,17.64917,-749,3,23,10.29266,1447159.39929,1447486.08833,1447526.23538,1447566.92886,313.38898,308.65827,315.63466,313.38898,144.37165,119.86284,276.61872,275.38522,134.95557,140.90229,317.2229,314.95557,125.10493,162.2281,357.2821,355.0645
-748,4,13,4.66669,-747,2,11,20.33013,-747,3,21,0.49219,-747,4,29,5.39248,1447953.69445,1448258.34709,1448295.52051,1448334.72469,16.2743,4.91636,18.03405,16.2743,181.19617,164.57254,318.83826,316.5507,173.19013,184.05363,355.43514,353.19013,164.03097,204.59896,33.11047,31.83115
-746,5,27,20.76409,-745,4,10,17.923,-745,5,12,15.68733,-745,6,17,1.67925,1448728.36517,1449046.24679,1449078.15364,1449113.56997,59.8171,50.89008,60.04453,59.8171,230.66773,217.47903,14.97581,13.13244,224.58095,234.20012,45.40177,44.58095,216.95762,252.76039,78.93433,79.48854
-744,7,2,1.00092,-743,6,25,3.00858,-743,7,25,23.94917,-743,8,24,21.3121,1449494.54171,1449852.62536,1449883.49788,1449913.388,94.98772,92.41233,93.85426,94.98772,304.24705,280.06955,87.05106,87.9276,298.35665,296.24859,116.50129,118.35665,292.84615,311.9128,145.46602,147.81741
-742,8,5,8.15586,-741,8,27,4.95675,-741,10,3,3.27972,-741,11,5,16.7725,1450258.83983,1450645.70653,1450682.63665,1450716.19885,128.30691,132.95019,126.22428,128.30691,14.23116,335.69144,147.25314,149.61639,6.01602,355.04503,183.91563,186.01602,359.37946,12.63363,217.99303,219.09611
-740,9,11,4.2789,-739,10,9,19.67769,-739,11,18,14.61417,-739,12,26,22.1392,1451026.67829,1451420.3199,1451460.10892,1451498.42247,165.11559,175.34339,162.7466,165.11559,61.74564,21.6351,191.16239,193.10265,52.32011,42.48692,231.75232,232.32012,43.81521,62.56551,271.11503,270.08329
-738,10,30,6.01069,-737,11,14,22.3603,-737,12,25,19.78265,-736,2,4,9.69638,1451805.75045,1452186.43168,1452227.32428,1452267.90402,212.99659,223.62372,211.66688,212.99659,98.44917,63.12341,227.47008,228.20945,88.51463,84.55358,269.48469,268.51463,78.85063,105.81978,310.67856,308.51146
-735,1,8,16.75635,-735,12,18,9.30291,-734,1,28,1.75113,-734,3,10,0.18105,1452607.19818,1452950.88762,1452991.57296,1453032.50754,282.93175,283.63019,284.43175,282.93175,131.51366,103.74398,262.37684,261.68419,121.7851,125.06552,303.81681,301.7851,111.83615,146.51769,344.4904,342.13167
-733,3,23,5.13206,-732,1,26,2.52707,-732,3,4,17.83195,-732,4,13,16.64915,1453410.71384,1453719.60529,1453758.243,1453798.19371,354.90513,344.72037,357.12515,354.90513,166.09684,146.59794,301.33491,299.35945,157.44213,166.8464,339.82338,337.44213,147.94084,187.78296,18.56372,16.81897
-731,5,11,23.55327,-730,3,16,15.86564,-730,4,19,18.48981,-730,5,27,2.70246,1454191.48139,1454500.16107,1454534.27041,1454571.6126,44.45717,33.88919,45.28265,44.45717,209.14984,195.65577,351.00395,348.70276,202.32213,213.5311,23.90745,22.32213,193.94303,233.10064,59.38277,59.12791
-729,6,19,11.97494,-728,5,25,16.7363,-728,6,24,12.80006,-728,7,25,22.81878,1454959.99896,1455301.19735,1455331.03334,1455362.45078,81.9352,76.63828,81.28617,81.9352,273.11795,255.44661,58.52283,58.23237,267.63978,271.08245,86.77399,87.63978,261.54438,287.54707,116.7442,118.60592
-727,7,22,21.46062,-726,8,5,11.63271,-726,9,9,7.57045,-726,10,10,17.16763,1455724.39419,1456102.9847,1456137.81544,1456169.21532,115.35011,117.22703,113.57395,115.35011,350.22975,315.63106,126.41574,128.50227,342.83267,333.88445,160.45354,162.83267,336.90614,350.33986,191.8583,193.78151
-725,8,27,15.51299,-724,9,23,22.39292,-724,11,1,21.82782,-724,12,8,15.75947,1456490.14637,1456883.43304,1456922.40949,1456959.15664,150.10248,158.5269,147.73643,150.10248,45.21488,4.63259,175.49554,177.73969,36.15626,25.05858,214.94203,216.15626,28.3268,44.31628,252.67319,252.37555
-723,10,9,2.32885,-722,11,1,10.03439,-722,12,12,0.57303,-721,1,20,23.77101,1457263.59704,1457651.9181,1457692.52388,1457732.49046,192.44274,203.86123,190.48618,192.44274,85.01869,47.36465,213.93552,215.18568,75.20816,68.6445,255.62749,255.20816,65.89064,89.58938,296.45478,294.60064
-721,12,9,23.82397,-720,12,4,19.63919,-719,1,14,18.35575,-719,2,24,17.81891,1458055.49267,1458416.3183,1458457.26482,1458498.24245,252.96301,258.86182,253.28597,252.96301,118.87017,87.956,248.73994,248.60548,108.96382,109.41442,290.65643,288.96382,99.02823,130.88915,331.73565,329.35282
-718,2,25,8.84805,-717,1,10,2.94418,-717,2,18,19.88486,-717,3,31,7.37446,1458863.86867,1459182.62267,1459222.32854,1459262.80727,329.72691,322.49912,332.11072,329.72691,152.21765,129.54525,285.43438,283.90211,143.0376,150.35349,325.38843,323.0376,133.28658,171.56676,5.01311,2.93487
-716,4,24,7.41975,-715,2,22,22.66857,-715,3,31,2.77492,-715,5,8,18.51326,1459652.80916,1459957.44452,1459993.61562,1460032.27139,27.33449,15.95104,28.76297,27.33449,190.84297,175.59816,329.97071,327.59386,183.24536,194.55398,5.31733,3.24537,174.32524,214.81191,42.28727,41.34585
-714,6,5,8.49174,-713,4,26,13.69839,-713,5,27,9.30702,-713,6,30,10.1123,1460424.85382,1460750.07077,1460780.88779,1460814.92135,68.28895,60.54855,68.17787,68.28895,244.95597,230.98164,30.21382,28.83424,239.20859,247.1316,59.46024,59.20859,232.11839,264.96722,91.69961,92.75326
-712,7,9,15.53291,-711,7,11,4.53133,-711,8,12,9.44801,-711,9,11,8.42352,1461190.1472,1461556.68881,1461588.89367,1461618.85098,102.5891,101.60797,101.19636,102.5891,322.00037,293.69766,102.43122,103.86544,315.60769,310.57493,133.39546,135.60769,310.10735,326.27435,162.76578,165.13467
-710,8,13,5.67174,-709,9,7,6.54109,-709,10,15,2.01439,-709,11,18,20.96653,1461954.73632,1462344.77255,1462382.58393,1462417.37361,136.19511,142.29833,133.97392,136.19511,26.46535,346.7006,158.24328,160.62857,17.89681,6.51602,196.08312,197.89681,10.82436,24.74789,231.61332,232.18674
-708,9,20,17.32418,-707,10,18,7.23074,-707,11,27,10.53884,-706,1,5,10.86573,1462724.22184,1463116.80128,1463156.93912,1463195.95274,174.62719,185.55469,172.34151,174.62719,70.71821,31.28975,199.85991,201.56733,61.1286,52.32438,240.93827,241.1286,52.29449,72.76984,280.96676,279.5818
-706,11,12,20.01402,-705,11,22,12.82863,-704,1,2,12.09464,-704,2,12,7.18652,1463507.33392,1463882.03453,1463923.00394,1463963.79944,226.49008,235.95217,225.68016,226.49008,106.1465,72.31767,235.38863,235.80821,96.18912,93.78809,277.45223,276.18912,86.3904,115.16736,318.68431,316.3986
