Jupiter,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
AR,1434313.232,-786,12,8,17.56083,79.30369,0.16197,249.54718,241.79854,-0.5667,68.14381,-6.85832
CS,1434328.772,-786,12,24,6.52111,77.23297,0.20155,265.37673,118.02418,-0.5667,293.87226,-6.44684
EL,1434511.318,-785,6,24,19.6275,91.7746,0.4422,83.33083,119.06235,-0.5667,123.66682,-7.6679
MF,1434536.674,-785,7,20,4.16528,97.3404,0.48312,107.66458,241.12614,-0.5667,236.06343,-9.59131
AR,1434710.24,-784,1,9,17.77056,110.65177,1.06797,281.8277,242.14133,-0.5667,66.9479,-6.91638
CS,1434726.777,-784,1,26,6.65694,108.48987,1.10006,298.47252,118.28438,-0.5667,290.68085,-6.00838
EL,1434907.319,-784,7,24,19.64806,122.49424,0.97213,112.88766,114.95951,-0.5667,121.41584,-7.76489
MF,1434932.69,-784,8,19,4.54806,128.00172,0.99862,137.60388,246.65199,-0.5667,244.54973,-9.991
AR,1435107.254,-783,2,9,18.10389,140.93622,1.64773,313.67097,250.49317,-0.5667,73.83367,-6.09392
CS,1435125.759,-783,2,28,6.22083,138.57084,1.66036,331.94591,110.42684,-0.5667,278.90056,-6.45201
EL,1435302.304,-783,8,23,19.28444,152.52401,1.22564,141.89679,104.26911,-0.5667,112.154,-7.82399
MF,1435327.708,-783,9,18,4.98417,158.05612,1.23098,167.09012,258.15732,-0.5667,257.86125,-9.67873
AR,1435503.269,-782,3,12,18.46583,171.17673,1.77545,343.95642,263.60005,-0.5667,86.3437,-6.34482
CS,1435522.733,-782,4,1,5.58417,168.72305,1.76368,2.83255,97.53484,-0.5667,264.94816,-6.08523
EL,1435698.277,-782,9,23,18.64583,182.92749,1.14301,172.41814,90.18642,-0.5667,98.19388,-7.49599
MF,1435722.724,-782,10,18,5.38028,188.3409,1.12648,197.06564,272.37172,-0.5667,272.31279,-9.36311
AR,1435900.282,-781,4,13,18.77083,202.03282,1.4126,14.67363,278.30975,-0.5667,100.89258,-6.46873
CS,1435919.703,-781,5,3,4.86667,199.59367,1.37829,33.25192,82.73819,-0.5667,250.86538,-6.36019
EL,1436094.252,-781,10,24,18.04944,214.09341,0.73098,203.44696,75.83386,-0.5667,83.81809,-7.67581
MF,1436119.74,-781,11,19,5.76028,219.88576,0.69454,229.42843,286.46827,-0.5667,284.88549,-10.00398
AR,1436299.296,-780,5,16,19.09667,234.1741,0.60737,46.92193,291.41224,-0.5667,114.29532,-6.11744
CS,1436316.682,-780,6,3,4.3625,231.97202,0.56337,63.4621,69.20605,-0.5667,240.26467,-6.69439
EL,1436492.237,-780,11,25,17.68222,246.93557,0.0756,236.83079,64.75074,-0.5667,71.69109,-7.93392
MF,1436517.76,-780,12,21,6.23833,252.90324,0.02928,262.86715,296.37724,-0.5667,291.91356,-9.48577
AR,1436699.312,-779,6,20,19.4925,268.19354,-0.44645,80.03294,298.27806,-0.5667,122.43222,-6.47632
CS,1436714.68,-779,7,6,4.32861,266.21159,-0.48709,94.73691,61.72457,-0.5667,237.08557,-6.60856
EL,1436893.24,-779,12,31,17.75528,281.86024,-0.63367,273.26376,62.13485,-0.5667,66.88732,-7.76819
MF,1436920.765,-778,1,28,6.36167,288.43051,-0.67842,301.0051,297.00719,-0.5667,288.01064,-9.42184
AR,1437101.312,-778,7,27,19.48611,303.80122,-1.39197,115.34592,294.31845,-0.5667,119.62025,-6.17172
CS,1437115.696,-778,8,11,4.69722,301.90597,-1.41764,129.33289,65.11841,-0.5667,243.85436,-6.88762
EL,1437295.258,-777,2,6,18.20361,318.05063,-1.12379,310.23972,70.71838,-0.5667,73.75187,-7.85542
MF,1437327.74,-777,3,11,5.77083,325.82593,-1.15195,342.25861,286.28355,-0.5667,272.45995,-9.63055
AR,1437503.29,-777,9,2,18.97056,340.28775,-1.81699,151.29928,280.77408,-0.5667,107.03726,-6.13981
CS,1437517.716,-777,9,17,5.18472,338.35085,-1.81886,165.63446,78.35305,-0.5667,258.96729,-6.91433
EL,1437698.275,-776,3,15,18.59722,354.65543,-1.18248,347.40681,86.55964,-0.5667,88.6882,-7.59743
MF,1437731.705,-776,4,18,4.92583,2.54089,-1.17294,19.66519,269.7138,-0.5667,254.89496,-9.34525
AR,1437904.26,-776,10,7,18.23361,16.35215,-1.53352,187.02224,263.6791,-0.5667,90.39081,-6.10318
CS,1437918.735,-776,10,22,5.63333,14.38859,-1.51181,201.68301,95.44697,-0.5667,275.88281,-6.86919
EL,1438100.29,-775,4,21,18.94944,30.25321,-0.7945,22.86257,103.22404,-0.5667,105.45067,-7.6606
MF,1438131.677,-775,5,23,4.24944,37.4689,-0.75366,52.78736,253.81085,-0.5667,241.22869,-9.42241
AR,1438303.237,-775,11,10,17.68639,50.99117,-0.71033,221.28866,248.94936,-0.5667,75.78756,-6.36543
CS,1438317.756,-775,11,25,6.14806,49.03154,-0.67533,236.11083,110.4557,-0.5667,289.02468,-6.39966
EL,1438500.307,-774,5,26,19.36472,64.0661,-0.14413,56.01222,115.30621,-0.5667,118.6232,-7.91235
MF,1438528.666,-774,6,24,3.99167,70.40927,-0.09473,83.03085,243.34798,-0.5667,234.62496,-9.73192
AR,1438701.23,-774,12,13,17.52556,83.72146,0.29969,254.71859,241.28777,-0.5667,67.04053,-6.37392
CS,1438716.772,-774,12,29,6.53083,81.65355,0.33832,270.53626,118.61776,-0.5667,293.71291,-6.85387
EL,1438898.32,-773,6,28,19.67194,96.09654,0.52671,87.2467,118.99967,-0.5667,124.02233,-7.88376
MF,1438923.676,-773,7,24,4.22222,101.65166,0.56608,111.61932,241.41334,-0.5667,236.91575,-9.49082
AR,1439098.24,-772,1,14,17.77083,114.89828,1.172,286.95549,242.89505,-0.5667,67.18681,-6.22301
CS,1439114.775,-772,1,31,6.60056,112.74405,1.20107,303.55046,117.60169,-0.5667,289.17036,-6.31673
EL,1439294.318,-772,7,28,19.62556,126.73666,1.02486,116.83879,113.77036,-0.5667,120.56358,-7.85863
MF,1439319.692,-772,8,23,4.61972,132.24572,1.04857,141.61396,247.99496,-0.5667,246.27565,-9.83646
AR,1439494.258,-771,2,13,18.18139,145.27229,1.69269,317.7196,252.16998,-0.5667,75.46693,-6.43787
CS,1439512.757,-771,3,4,6.17639,142.90997,1.70288,335.95089,108.79166,-0.5667,277.41157,-6.05534
EL,1439690.298,-771,8,28,19.16194,156.99534,1.23382,146.90624,102.3178,-0.5667,109.81657,-7.45209
MF,1439714.71,-771,9,22,5.04944,162.32343,1.23619,171.17502,260.07993,-0.5667,259.93179,-9.5023
AR,1439890.272,-770,3,16,18.54,175.59859,1.75312,347.93166,265.70373,-0.5667,88.45226,-6.8032
CS,1439910.727,-770,4,6,5.44194,173.02624,1.73696,7.7227,95.49013,-0.5667,262.41903,-6.41486
EL,1440085.274,-770,9,27,18.56944,187.27336,1.10362,176.50701,88.10292,-0.5667,96.32717,-7.63157
MF,1440110.725,-770,10,23,5.40111,192.92792,1.08354,202.22175,274.54743,-0.5667,274.30681,-9.91987
AR,1440288.283,-769,4,18,18.78639,206.51622,1.32238,19.55537,280.36109,-0.5667,102.88801,-6.05372
CS,1440306.7,-769,5,7,4.8075,204.19979,1.28744,37.15006,80.60278,-0.5667,249.42092,-6.12225
EL,1440482.248,-769,10,29,17.9475,218.81348,0.64914,208.60346,73.88729,-0.5667,81.46798,-7.4621
MF,1440506.744,-769,11,23,5.85028,224.40265,0.61213,233.59087,288.21659,-0.5667,286.41021,-9.598
AR,1440686.301,-768,5,20,19.21722,239.03382,0.46978,50.81836,292.9358,-0.5667,116.25693,-6.96545
CS,1440703.682,-768,6,7,4.36111,236.82709,0.42511,67.35786,67.61121,-0.5667,239.64051,-6.34582
EL,1440880.236,-768,11,30,17.65417,251.83723,-0.02664,242.0197,63.7229,-0.5667,70.31645,-7.86081
MF,1440905.762,-768,12,26,6.28889,257.82484,-0.07315,268.03804,297.15974,-0.5667,292.1356,-9.47275
AR,1441087.314,-767,6,25,19.52861,273.17793,-0.59416,84.89748,298.42848,-0.5667,122.80729,-6.49149
CS,1441102.681,-767,7,11,4.34833,271.19143,-0.63385,99.62425,61.48281,-0.5667,237.28897,-6.7817
EL,1441281.242,-766,1,5,17.80972,286.91398,-0.7205,278.41646,62.69493,-0.5667,67.1882,-7.82405
MF,1441309.763,-766,2,3,6.30472,293.72882,-0.76486,307.08374,296.1091,-0.5667,286.20239,-9.60919
AR,1441489.31,-766,8,1,19.45028,308.94562,-1.48889,120.28645,292.86426,-0.5667,118.4262,-6.242
CS,1441503.699,-766,8,16,4.77417,307.04557,-1.51191,134.31347,66.50919,-0.5667,245.65412,-6.80677
EL,1441683.262,-765,2,11,18.27667,323.16774,-1.16031,315.29476,72.63922,-0.5667,75.52195,-7.98759
MF,1441715.737,-765,3,16,5.68861,330.93368,-1.18318,347.21349,284.19451,-0.5667,270.35767,-9.32717
AR,1441891.286,-765,9,7,18.8725,345.42543,-1.8192,156.34071,278.43062,-0.5667,104.81699,-6.15432
CS,1441905.719,-765,9,22,5.25194,343.48235,-1.81758,170.73088,80.67789,-0.5667,261.39915,-6.87032
EL,1442086.277,-764,3,20,18.65417,359.71529,-1.15268,352.36391,88.97583,-0.5667,91.07584,-7.70693
MF,1442119.701,-764,4,23,4.815,7.57531,-1.13766,24.54236,267.31074,-0.5667,252.66292,-9.31909
AR,1442291.258,-764,10,11,18.19417,21.44685,-1.44535,191.15452,261.29116,-0.5667,88.78503,-6.6495
CS,1442306.737,-764,10,27,5.68472,19.35073,-1.41993,206.85141,97.80032,-0.5667,278.02275,-7.06322
EL,1442488.292,-763,4,26,19.0025,35.16178,-0.7144,27.74183,105.32295,-0.5667,107.63681,-7.65498
MF,1442519.673,-763,5,28,4.15972,42.34978,-0.6706,57.64099,251.86919,-0.5667,239.50504,-9.67371
AR,1442691.234,-763,11,15,17.60833,55.70185,-0.57259,226.47794,247.36094,-0.5667,73.78342,-6.08911
CS,1442705.758,-763,11,30,6.19222,53.74219,-0.5364,241.31504,112.10376,-0.5667,290.16155,-6.77347
EL,1442888.309,-762,5,31,19.40778,68.80164,-0.04645,60.86839,116.41423,-0.5667,119.85951,-7.71836
MF,1442915.667,-762,6,28,4.01,74.90406,0.0015,86.95406,242.52323,-0.5667,234.52536,-9.61524
AR,1443088.232,-762,12,17,17.57889,88.33265,0.4345,258.89688,240.95279,-0.5667,66.83183,-6.83665
CS,1443103.776,-761,1,2,6.61583,86.27091,0.47254,274.6904,119.0412,-0.5667,294.00933,-6.20683
EL,1443286.319,-761,7,3,19.66194,100.69632,0.61078,92.12887,118.73803,-0.5667,123.75851,-7.54695
MF,1443310.679,-761,7,28,4.28972,106.02578,0.64705,115.5855,241.87825,-0.5667,237.96058,-9.31879
AR,1443485.244,-760,1,18,17.85806,119.3704,1.26865,291.07797,243.85879,-0.5667,68.14012,-6.65194
CS,1443502.773,-760,2,5,6.54111,117.09351,1.2969,308.63547,116.74185,-0.5667,287.53695,-6.5386
EL,1443682.314,-760,8,2,19.54528,131.26981,1.07368,121.79026,112.36172,-0.5667,118.9453,-7.4897
MF,1443706.696,-760,8,27,4.69722,136.56532,1.09396,145.65748,249.47521,-0.5667,248.12268,-9.62446
AR,1443881.261,-759,2,17,18.265,149.70374,1.72982,321.77918,253.97237,-0.5667,77.23555,-6.86098
CS,1443900.752,-759,3,9,6.05861,147.2244,1.73685,340.93045,107.07458,-0.5667,275.06038,-6.28954
EL,1444077.296,-759,9,1,19.09389,161.31203,1.23625,150.9425,100.37882,-0.5667,108.15281,-7.56556
MF,1444102.711,-759,9,27,5.06917,166.86724,1.23574,176.27672,262.17198,-0.5667,262.03456,-10.05528
AR,1444278.273,-758,3,21,18.54306,179.95578,1.72161,352.88826,267.79313,-0.5667,90.41858,-6.21788
CS,1444297.724,-758,4,10,5.37167,177.50895,1.7028,11.67118,93.34115,-0.5667,260.72948,-6.13508
EL,1444472.271,-758,10,1,18.49528,191.64684,1.05876,180.6135,86.01919,-0.5667,94.45925,-7.7834
MF,1444497.728,-758,10,27,5.4725,197.31569,1.03548,206.37375,276.60417,-0.5667,276.26674,-9.67708
AR,1444675.287,-757,4,22,18.87861,211.12347,1.22625,23.48111,282.4045,-0.5667,105.08948,-6.69426
CS,1444694.695,-757,5,12,4.68083,208.68508,1.18707,42.00019,78.57102,-0.5667,247.22647,-6.53917
EL,1444869.246,-757,11,2,17.90528,223.2871,0.56652,212.75875,72.13563,-0.5667,79.90342,-7.72351
MF,1444894.745,-757,11,28,5.89194,229.12014,0.52623,238.78728,289.92141,-0.5667,287.63155,-9.9763
AR,1445074.302,-756,5,25,19.25556,243.69125,0.32946,55.66887,294.24247,-0.5667,117.61708,-6.7221
CS,1445090.682,-756,6,11,4.36611,241.60643,0.28668,71.25941,66.20189,-0.5667,239.13332,-6.02614
EL,1445268.235,-756,12,5,17.63333,256.66517,-0.12569,247.20343,62.91941,-0.5667,69.11883,-7.73326
MF,1445293.764,-756,12,31,6.32694,262.66626,-0.17204,273.19249,297.70794,-0.5667,292.0914,-9.48817
AR,1445475.314,-755,6,30,19.54444,278.01713,-0.7337,89.77406,298.33799,-0.5667,122.84133,-6.38168
CS,1445489.685,-755,7,15,4.44306,276.15402,-0.76997,103.56562,61.49485,-0.5667,238.2447,-6.14112
EL,1445669.244,-754,1,10,17.86167,291.855,-0.79984,283.54829,63.47276,-0.5667,67.67408,-7.78493
MF,1445697.762,-754,2,8,6.27806,298.6743,-0.84167,312.13838,295.05337,-0.5667,284.75693,-9.33957
AR,1445877.308,-754,8,6,19.3925,313.9089,-1.57188,125.22773,291.28529,-0.5667,116.95715,-6.19789
CS,1445891.702,-754,8,21,4.83722,312.0015,-1.59192,139.30579,68.03263,-0.5667,247.4834,-6.88801
EL,1446071.264,-753,2,16,18.33833,328.15981,-1.18699,320.33831,74.63712,-0.5667,77.36057,-7.99709
MF,1446104.731,-753,3,22,5.53917,336.15066,-1.20608,353.12427,281.95749,-0.5667,267.43604,-9.55173
AR,1446279.282,-753,9,12,18.7625,350.38419,-1.80846,161.3889,276.11473,-0.5667,102.46178,-6.06744
CS,1446293.721,-753,9,27,5.30361,348.43803,-1.80319,175.81916,82.98318,-0.5667,263.74356,-6.99234
EL,1446474.279,-752,3,25,18.70222,4.66163,-1.11566,357.29074,91.3457,-0.5667,93.42507,-7.72718
MF,1446507.696,-752,4,28,4.70028,12.5022,-1.09559,29.39983,264.97338,-0.5667,250.44365,-9.3757
AR,1446679.253,-752,10,16,18.08111,26.27811,-1.34929,196.28883,259.07303,-0.5667,86.30605,-6.46722
CS,1446693.742,-752,10,31,5.80306,24.31272,-1.32339,211.00966,100.1031,-0.5667,280.2519,-6.25755
EL,1446876.294,-751,5,1,19.05139,39.9938,-0.63113,32.59965,107.29739,-0.5667,109.70118,-7.59008
MF,1446906.672,-751,6,1,4.12778,46.93392,-0.5859,61.52635,250.14651,-0.5667,238.54228,-9.50739
AR,1447078.234,-751,11,19,17.60861,60.46522,-0.43572,230.64268,245.90671,-0.5667,72.69748,-6.55661
CS,1447092.763,-751,12,4,6.30667,58.50969,-0.39908,245.47917,113.6242,-0.5667,291.52226,-6.09132
EL,1447276.31,-750,6,5,19.44472,73.49337,0.05022,65.71761,117.33316,-0.5667,120.88434,-7.48998
MF,1447302.668,-750,7,2,4.03528,79.35907,0.09638,90.86882,241.87786,-0.5667,234.58126,-9.49771
AR,1447476.232,-750,12,22,17.56333,92.7745,0.56736,264.05903,240.81141,-0.5667,66.14208,-6.35934
CS,1447491.776,-749,1,7,6.61583,90.71601,0.60406,279.83283,119.26728,-0.5667,293.48486,-6.51671
