Almagest Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-780,12,3,21.15932,-779,4,1,2.72646,-779,6,10,7.08147,-779,8,19,12.57128,1436500.38164,1436618.6136,1436688.79506,1436759.0238,247.48515,250.24555,247.57096,247.48515,256.71398,254.20496,6.07482,4.01874,253.19206,256.55524,72.88564,73.19206,249.66306,258.90709,140.10978,142.41199
-779,12,15,17.89394,-778,4,13,5.20737,-778,6,22,5.75688,-778,8,31,7.87917,1436877.24558,1436995.71697,1437065.73987,1437135.8283,258.93554,262.86617,259.51318,258.93554,268.24932,266.8336,17.4804,15.70513,264.72216,269.17857,83.9664,84.72216,261.18529,271.52573,151.42186,153.80379
-778,12,27,18.82384,-777,4,25,13.41995,-777,7,4,9.24081,-777,9,12,7.05886,1437254.28433,1437373.05916,1437442.88503,1437512.79412,270.55823,275.49265,271.60847,270.55823,279.98467,279.47024,29.04592,27.6269,276.44974,281.80861,95.26489,96.44974,272.90262,284.14976,162.9869,165.3546
-776,1,9,1.14436,-776,5,7,4.29851,-776,7,15,18.66032,-776,9,23,11.41195,1437631.54768,1437750.6791,1437820.27751,1437889.9755,282.4023,288.12665,283.88448,282.4023,291.9665,292.11618,40.81975,39.82244,288.42108,294.44693,106.84421,108.42108,284.86126,296.78102,174.86488,177.11788
-775,1,20,13.9018,-775,5,20,2.5566,-775,7,28,10.96745,-775,10,5,22.09328,1438009.07924,1438128.60652,1438197.95698,1438267.42055,294.51073,300.76963,296.36245,294.51073,304.23392,304.77242,52.84453,52.32104,300.67529,307.09487,118.76206,120.67529,297.10045,309.4211,187.10718,189.14104
-774,2,2,9.9391,-774,6,2,8.63978,-774,8,10,10.87992,-774,10,18,16.05851,1438386.91413,1438506.85999,1438575.95333,1438645.1691,306.91812,313.42277,309.05595,306.91812,316.8162,317.43958,65.1558,65.141,313.24183,319.75341,131.06795,133.24183,309.65008,322.07135,199.7528,201.46334
-773,2,15,13.8317,-773,6,15,22.66378,-773,8,23,18.81297,-773,10,31,17.97968,1438765.07632,1438885.44432,1438954.28387,1439023.24915,319.64812,326.08687,321.96971,319.64812,329.72984,330.11781,77.77977,78.28707,326.13776,332.42315,143.79949,146.13776,322.52796,334.7327,212.82295,214.11237
-772,2,29,1.81629,-772,6,28,20.35106,-772,9,5,10.80666,-772,11,13,4.17689,1439143.57568,1439264.34796,1439332.95028,1439401.67404,332.71044,338.76226,335.09839,332.71044,342.97559,342.80674,90.7306,91.74786,339.36473,345.10414,156.97749,159.36473,335.73683,347.40559,226.31636,227.10129
-771,3,13,21.71919,-771,7,13,0.98235,-771,9,19,10.45839,-771,11,26,22.54035,1439522.40497,1439643.54093,1439711.93577,1439780.43918,346.09795,351.4487,348.42553,346.09795,356.53564,355.50536,104.00763,105.49383,352.90619,357.79581,170.60056,172.90619,349.26156,0.08989,240.20479,240.42558
-770,3,28,0.89708,-770,7,27,11.3691,-770,10,3,16.8769,-770,12,11,0.47284,1439901.53738,1440022.97371,1440091.2032,1440159.5197,359.78423,4.14529,1.92286,359.78423,10.3719,8.21201,117.5925,119.47617,6.72556,10.49692,184.6397,186.72556,3.06707,12.78474,254.43087,254.06071
