Mercury,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1430271.5,1430271.612,1430271.736,-797,11,15,5.66177,214.49707,2.53409,225.18216,282.98762,0,282.78439,-10.97621
ML,1430314.5,1430314.638,1430314.762,-797,12,28,6.27607,256.01228,-1.2502,269.0595,299.48852,0,291.63847,-10.52799
EF,1430345.5,1430346.136,1430346.259,-796,1,28,18.21524,311.80728,-0.85518,300.82792,67.90355,0,72.30768,-10.10316
EL,1430370.5,1430371.149,1430371.273,-796,2,22,18.54762,335.31492,3.67631,325.67447,82.47349,0,80.88716,-10.18999
MF,1430386.5,1430386.617,1430386.74,-796,3,9,5.77032,325.04434,1.12713,340.85351,284.77418,0,272.50072,-10.10443
ML,1430417.5,1430417.586,1430417.71,-796,4,9,5.03536,347.78768,-2.69197,10.84569,278.827,0,257.85839,-10.17415
EF,1430450.5,1430451.191,1430451.315,-796,5,12,19.55073,54.07659,1.76173,42.9653,115.11537,0,117.5679,-10.9811
EL,1430494.5,1430495.212,1430495.335,-796,6,25,20.05108,102.13054,-3.53637,84.89231,113.79982,0,127.84529,-10.69167
MF,1430516.5,1430516.54,1430516.664,-796,7,17,3.93422,90.38165,-2.76305,105.35974,244.56995,0,233.47207,-10.48914
ML,1430537.5,1430537.555,1430537.678,-796,8,7,4.2719,115.38509,1.64053,125.72418,242.13821,0,239.06355,-10.01008
EF,1430588.5,1430589.159,1430589.282,-796,9,27,18.77961,198.90098,-2.36715,176.79402,78.37583,0,98.29371,-10.07206
EL,1430600.5,1430601.148,1430601.272,-796,10,9,18.51664,210.86806,-2.72412,188.87499,72.57427,0,92.38776,-10.11393
MF,1430620.5,1430620.605,1430620.729,-796,10,29,5.48692,198.62817,1.81664,208.61163,276.85833,0,276.72893,-10.14493
ML,1430661.5,1430661.63,1430661.753,-796,12,9,6.08085,238.87871,-0.74404,250.47753,295.30766,0,290.01665,-10.36292
EF,1430695.5,1430696.129,1430696.253,-795,1,12,18.06611,297.80272,-1.17488,285.50364,63.29424,0,69.54836,-10.67551
EL,1430717.5,1430718.143,1430718.266,-795,2,3,18.39295,318.17754,3.52938,307.58285,75.29195,0,74.91413,-11.1544
MF,1430731.5,1430731.63,1430731.754,-795,2,17,6.09218,307.42421,2.66316,320.96941,289.3962,0,280.65551,-10.72043
ML,1430768.5,1430768.601,1430768.725,-795,3,26,5.3956,335.20827,-2.5146,357.12303,284.49505,0,264.74734,-10.0154
EF,1430799.5,1430800.181,1430800.304,-795,4,26,19.30526,38.10129,1.51326,27.46755,109.06974,0,110.49969,-10.64514
EL,1430842.5,1430843.205,1430843.328,-795,6,8,19.87134,82.95581,-2.99803,68.43964,114.90986,0,125.38378,-10.53821
MF,1430866.5,1430866.535,1430866.658,-795,7,2,3.80288,73.49157,-2.99322,90.71488,246.10573,0,232.12179,-10.58384
ML,1430885.5,1430885.544,1430885.668,-795,7,21,4.02684,97.73506,1.20475,108.99151,239.9138,0,234.58328,-10.00077
EF,1430925.5,1430926.185,1430926.309,-795,8,30,19.41046,168.61992,-0.8957,148.67605,94.48093,0,111.81379,-10.06043
EL,1430948.5,1430949.164,1430949.287,-795,9,22,18.89445,194.77984,-3.04721,171.54263,79.55999,0,100.84803,-10.01106
MF,1430970.5,1430970.593,1430970.716,-795,10,14,5.18779,181.99233,1.24476,193.12414,269.59826,0,268.95297,-11.18194
ML,1431007.5,1431007.619,1431007.743,-795,11,20,5.82298,220.33741,-0.09056,230.81789,288.31404,0,285.28455,-10.03817
EF,1431044.5,1431045.121,1431045.244,-795,12,27,17.8648,282.1562,-1.58097,269.05446,59.86859,0,68.19826,-10.27003
EL,1431065.5,1431066.134,1431066.258,-794,1,17,18.18512,301.37116,3.04438,290.30221,69.30152,0,70.76422,-11.38259
MF,1431077.5,1431077.64,1431077.764,-794,1,29,6.33385,290.80448,3.53272,301.84309,292.51673,0,287.2697,-10.34141
ML,1431118.5,1431118.615,1431118.739,-794,3,11,5.73132,321.45711,-2.35984,342.32366,290.22213,0,271.76503,-10.18272
EF,1431148.5,1431149.171,1431149.294,-794,4,10,19.06695,21.97299,1.14426,11.89772,101.68183,0,102.60493,-10.0977
EL,1431189.5,1431190.193,1431190.317,-794,5,21,19.59985,63.20546,-1.96308,51.07108,113.15188,0,120.01347,-10.2205
MF,1431215.5,1431215.537,1431215.661,-794,6,16,3.85538,56.25696,-3.31428,75.19778,250.27806,0,233.80768,-10.043
ML,1431232.5,1431232.537,1431232.66,-794,7,3,3.84386,77.97054,0.39467,91.43797,241.33379,0,232.49471,-10.20906
EF,1431263.5,1431264.205,1431264.328,-794,8,3,19.87326,137.83168,0.76405,121.98687,109.79581,0,122.14999,-10.02835
EL,1431297.5,1431298.18,1431298.303,-794,9,6,19.27107,179.25237,-3.25681,155.35694,86.79367,0,108.78232,-10.12777
MF,1431319.5,1431319.586,1431319.709,-794,9,28,5.02125,166.18201,0.35331,176.72997,262.9891,0,261.42141,-10.43803
ML,1431351.5,1431351.604,1431351.728,-794,10,30,5.46846,198.62463,0.79415,209.12938,277.98938,0,276.74982,-10.46202
EF,1431394.5,1431395.119,1431395.242,-794,12,12,17.8075,268.38292,-1.83037,253.54158,58.84727,0,69.56572,-10.4854
EL,1431414.5,1431415.124,1431415.247,-793,1,1,17.92822,284.59482,2.49962,273.88579,65.22922,0,68.42487,-10.52432
MF,1431425.5,1431425.641,1431425.764,-793,1,12,6.33756,273.7713,3.72014,284.52559,294.18324,0,290.52235,-10.77439
ML,1431468.5,1431468.627,1431468.751,-793,2,24,6.02009,308.02594,-2.19115,327.39848,294.95456,0,278.32249,-10.30995
EF,1431498.5,1431499.166,1431499.289,-793,3,26,18.94357,7.83441,0.86002,357.20205,94.71734,0,95.70268,-10.62161
EL,1431534.5,1431535.185,1431535.309,-793,5,1,19.40765,43.51658,-0.15062,31.78532,109.24134,0,112.88834,-11.15853
MF,1431565.5,1431565.542,1431565.666,-793,6,1,3.98107,39.7034,-3.30559,60.68827,255.83337,0,237.0345,-10.05294
ML,1431578.5,1431578.537,1431578.661,-793,6,14,3.8541,56.5041,-0.79024,73.05907,247.20344,0,234.04526,-10.16679
EF,1431607.5,1431608.212,1431608.335,-793,7,13,20.04044,114.88469,1.52106,101.45231,117.83174,0,126.77973,-10.17239
EL,1431647.5,1431648.193,1431648.316,-793,8,22,19.58469,163.85328,-3.48194,140.3085,93.87026,0,115.50879,-10.12392
MF,1431669.5,1431669.573,1431669.697,-793,9,13,4.71687,149.62365,-0.2506,161.46514,256.15223,0,253.14544,-11.46136
ML,1431697.5,1431697.595,1431697.718,-793,10,11,5.2313,179.65797,1.372,189.59101,268.3322,0,268.0205,-10.0216
EF,1431743.5,1431744.118,1431744.242,-793,11,26,17.80007,253.15532,-2.1016,236.95558,59.87254,0,72.84759,-10.00492
EL,1431762.5,1431763.12,1431763.243,-793,12,15,17.8397,268.80056,1.45829,256.34773,62.95746,0,69.37626,-10.79138
MF,1431773.5,1431773.639,1431773.763,-793,12,26,6.3008,257.52894,3.60997,267.05716,293.672,0,291.91797,-10.03261
ML,1431818.5,1431818.637,1431818.76,-792,2,9,6.24527,294.86765,-2.01445,312.32618,298.44107,0,284.10206,-10.26342
EF,1431847.5,1431848.157,1431848.28,-792,3,9,18.72641,351.60091,0.34635,341.40604,86.33638,0,87.75455,-10.10265
EL,1431880.5,1431881.172,1431881.296,-792,4,11,19.09455,23.51088,1.40622,13.35499,102.67483,0,103.41252,-10.22547
MF,1431914.5,1431914.553,1431914.677,-792,5,15,4.23615,22.58694,-3.31873,45.24012,263.00859,0,242.33102,-10.02228
ML,1431922.5,1431922.547,1431922.671,-792,5,23,4.09622,32.42051,-2.2296,52.84956,257.52373,0,239.51102,-10.05004
EF,1431954.5,1431955.211,1431955.335,-792,6,24,20.03097,96.31649,1.81929,83.96688,120.95666,0,127.65642,-10.55431
EL,1431997.5,1431998.203,1431998.326,-792,8,6,19.83307,147.73927,-3.69287,125.40255,100.75604,0,121.1132,-10.08871
MF,1432018.5,1432018.565,1432018.688,-792,8,27,4.51298,133.52053,-1.14872,145.36198,250.84869,0,246.04291,-10.89515
ML,1432043.5,1432043.583,1432043.706,-792,9,21,4.94762,160.15906,1.7842,170.22223,258.58654,0,258.35524,-10.21593
EF,1432093.5,1432094.124,1432094.248,-792,11,10,17.94723,239.58072,-2.28072,221.39232,62.63905,0,78.02941,-10.07161
EL,1432110.5,1432111.12,1432111.243,-792,11,27,17.83454,253.14402,0.27791,238.74884,62.82312,0,72.69236,-10.53551
MF,1432122.5,1432122.631,1432122.754,-792,12,9,6.10184,240.88846,3.26845,250.50187,291.01916,0,290.17987,-10.11448
ML,1432167.5,1432167.641,1432167.765,-791,1,23,6.3495,280.31931,-1.77632,296.10839,300.57807,0,288.59756,-10.50978
EF,1432197.5,1432198.152,1432198.275,-791,2,22,18.60033,337.40698,-0.006,326.45014,79.30389,0,81.54837,-10.72725
EL,1432225.5,1432226.165,1432226.289,-791,3,22,18.93326,4.4591,2.8548,353.82474,95.28083,0,94.27124,-10.96079
MF,1432255.5,1432255.575,1432255.698,-791,4,21,4.75724,358.47834,-3.15201,22.13563,274.18756,0,252.4489,-10.06894
ML,1432268.5,1432268.563,1432268.686,-791,5,4,4.46496,11.91504,-2.81559,34.53869,267.3771,0,246.79616,-10.00589
EF,1432302.5,1432303.205,1432303.328,-791,6,7,19.88102,79.09429,1.90109,67.51694,120.67434,0,125.38239,-10.75617
EL,1432346.5,1432347.212,1432347.335,-791,7,21,20.04343,130.75065,-3.73189,109.65976,107.07925,0,125.80636,-10.55549
MF,1432367.5,1432367.556,1432367.679,-791,8,11,4.29607,117.10616,-1.97411,129.41604,246.93362,0,240.01142,-10.39136
