Jupiter,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1433125.5,1433125.564,1433125.687,-789,9,8,4.49131,143.89773,1.88231,156.51656,250.92265,-0.5667,249.37314,-13.2302
AR,1433285.5,1433286.14,1433286.264,-788,2,15,18.33102,148.85436,2.45062,318.8051,252.37089,-0.5667,77.16653,-8.60368
CS,1433312.5,1433313.619,1433313.742,-788,3,14,5.81261,146.77748,2.46541,345.78718,108.53805,-0.5667,271.43828,-8.19101
EL,1433471.5,1433472.195,1433472.318,-788,8,19,19.63074,152.34065,2.11969,138.1407,105.72483,-0.5667,116.44886,-10.17499
MF,1433503.5,1433503.57,1433503.693,-788,9,20,4.63538,156.1056,2.13793,169.23684,255.94714,-0.5667,255.22563,-13.84864
AR,1433663.5,1433664.145,1433664.269,-787,2,27,18.45413,160.83768,2.70609,331.3895,257.49413,-0.5667,82.00115,-8.1706
CS,1433691.5,1433692.605,1433692.728,-787,3,28,5.47956,158.72148,2.70904,359.11832,103.49217,-0.5667,264.89381,-8.34793
EL,1433848.5,1433849.185,1433849.309,-787,8,31,19.40684,164.21712,2.28466,149.72393,100.45139,-0.5667,111.50933,-10.27626
MF,1433880.5,1433880.577,1433880.7,-787,10,2,4.8052,167.94593,2.29434,181.04977,261.3086,-0.5667,261.18532,-13.86585
AR,1434040.5,1434041.152,1434041.276,-786,3,11,18.61577,172.61077,2.83981,342.90513,262.94661,-0.5667,87.41407,-8.50889
CS,1434069.5,1434070.592,1434070.715,-786,4,10,5.16879,170.45032,2.83255,11.40087,98.08501,-0.5667,258.86537,-8.35913
EL,1434225.5,1434226.174,1434226.298,-786,9,12,19.14844,175.8759,2.35115,161.38132,94.94125,-0.5667,106.01586,-10.27506
MF,1434256.5,1434256.585,1434256.709,-786,10,13,5.00669,179.45944,2.35193,191.91682,266.78957,-0.5667,267.00155,-13.23897
AR,1434417.5,1434418.158,1434418.281,-785,3,23,18.75196,184.14858,2.85598,354.35011,268.49942,-0.5667,92.95762,-8.61766
CS,1434446.5,1434447.581,1434447.704,-785,4,22,4.89804,182.00978,2.84005,22.6696,92.51372,-0.5667,253.55243,-8.2278
EL,1434602.5,1434603.163,1434603.286,-785,9,24,18.87205,187.35896,2.3218,173.11424,89.37419,-0.5667,100.1923,-10.18281
MF,1434633.5,1434633.591,1434633.714,-785,10,25,5.13544,190.92184,2.3155,203.84276,272.33024,-0.5667,272.33127,-13.68999
AR,1434794.5,1434795.163,1434795.286,-784,4,3,18.87254,195.50692,2.76014,5.7179,273.99678,-0.5667,98.49116,-8.56078
CS,1434823.5,1434824.569,1434824.692,-784,5,3,4.61498,193.38596,2.73614,33.88996,86.96926,-0.5667,248.29441,-8.4453
EL,1434979.5,1434980.151,1434980.275,-784,10,5,18.59278,198.71214,2.20179,184.92915,83.90308,-0.5667,94.23787,-10.00449
MF,1435009.5,1435009.598,1435009.721,-784,11,4,5.31329,202.1467,2.18881,214.80288,277.6753,-0.5667,277.27244,-13.40151
AR,1435171.5,1435172.168,1435172.291,-783,4,15,18.98725,206.74153,2.55987,17.02294,279.30142,-0.5667,103.87675,-8.38581
