Mars,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
AR,1439754.242,-771,10,31,17.81004,42.69245,0.63803,211.1315,250.26135,-0.5667,79.66738,-6.2084
CS,1439767.749,-771,11,14,5.98474,37.44216,1.19614,224.90148,108.36333,-0.5667,285.47863,-6.41718
EL,1440041.329,-770,8,14,19.90547,153.55775,0.7946,132.93905,103.3478,-0.5667,119.80388,-13.21547
MF,1440167.741,-770,12,19,5.79331,244.96071,-0.50478,260.37342,295.51757,-0.5667,288.87089,-14.51697
AR,1440521.231,-769,12,7,17.53226,80.41824,3.27795,248.38927,237.88983,-0.5667,68.15684,-6.525
CS,1440536.771,-769,12,23,6.51355,74.29839,3.644,264.22508,121.81602,-0.5667,293.84831,-6.3934
EL,1440812.295,-768,9,23,19.08844,195.31658,-0.03968,173.0354,83.14533,-0.5667,101.63119,-13.26172
MF,1441021.685,-767,4,21,4.43165,355.96564,-0.91452,22.34933,272.53714,-0.5667,249.92182,-14.60638
AR,1441286.242,-766,1,10,17.81404,114.14642,4.49948,283.47274,238.73158,-0.5667,67.31768,-7.21658
CS,1441303.776,-766,1,28,6.62494,107.35598,4.57772,301.10011,122.69671,-0.5667,289.89073,-6.21955
EL,1441633.256,-766,12,23,18.15194,280.34362,-1.11698,264.99141,61.39232,-0.5667,70.1427,-13.28592
MF,1441794.652,-765,6,3,3.64225,40.02719,-0.06297,62.83984,252.04982,-0.5667,233.80132,-14.52791
AR,1442054.258,-764,2,17,18.19284,148.6907,4.34568,320.99996,250.64092,-0.5667,76.46668,-6.07378
CS,1442072.752,-764,3,7,6.05417,141.78717,3.99348,339.1854,111.81349,-0.5667,275.53566,-6.8051
EL,1442440.291,-763,3,9,18.98857,354.40937,-0.48137,341.4299,87.19462,-0.5667,89.40736,-13.3687
MF,1442554.647,-763,7,2,3.52504,72.31546,0.64091,90.99686,242.14037,-0.5667,229.74069,-14.67916
AR,1442828.278,-762,4,1,18.67934,191.09815,2.05793,3.5032,272.65427,-0.5667,95.7359,-6.67462
CS,1442844.716,-762,4,18,5.17739,185.43166,1.30442,19.30483,89.1818,-0.5667,257.05111,-6.32755
EL,1443220.312,-761,4,28,19.4978,42.38734,0.44673,29.21052,109.40687,-0.5667,112.40429,-13.4124
MF,1443313.659,-761,7,31,3.81537,102.68947,1.08193,118.475,240.90732,-0.5667,233.91893,-14.8012
AR,1443624.305,-760,6,5,19.31658,251.34888,-4.25953,66.11114,301.27157,-0.5667,119.84043,-6.02766
CS,1443632.68,-760,6,14,4.32402,249.05776,-4.75234,74.08592,58.56015,-0.5667,238.41789,-6.34626
EL,1443988.332,-759,6,4,19.97409,79.11023,1.02033,64.95086,119.2149,-0.5667,125.59168,-13.27919
MF,1444075.68,-759,8,31,4.31637,134.90871,1.18003,149.34494,248.77897,-0.5667,245.89449,-14.76668
AR,1444435.297,-758,8,25,19.12941,327.74123,-5.72375,143.7936,290.55986,-0.5667,110.36902,-6.38002
CS,1444442.711,-758,9,2,5.06107,325.44036,-5.38504,151.11394,68.85239,-0.5667,252.88964,-6.13038
EL,1444748.343,-757,7,4,20.23236,109.8024,1.19373,93.13666,118.15778,-0.5667,128.94582,-13.41117
MF,1444842.701,-757,10,7,4.82928,171.76008,0.83587,185.83505,264.88312,-0.5667,263.76625,-14.62267
AR,1445217.253,-756,10,15,18.0815,25.51232,-0.86094,195.24551,258.87101,-0.5667,86.63596,-6.22034
