Venus,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1437455.5,1437456.195,1437456.318,-777,7,17,19.63889,112.13969,1.32402,105.41448,118.61074,-0.5667,122.60458,-6.14253
EL,1437722.5,1437723.156,1437723.279,-776,4,9,18.69694,15.58098,5.61188,11.54231,104.04367,-0.5667,99.28927,-5.58938
MF,1437727.5,1437727.595,1437727.718,-776,4,14,5.23028,12.78302,4.81742,15.80367,258.17477,-0.5667,258.21171,-6.2508
ML,1437990.5,1437990.656,1437990.779,-775,1,2,6.69667,267.69238,-0.62901,275.05391,299.19964,-0.5667,294.36857,-6.1654
EF,1438044.5,1438045.138,1438045.261,-775,2,25,18.27278,335.55946,-1.32177,329.50457,77.38208,-0.5667,79.93393,-6.21634
EL,1438302.5,1438303.108,1438303.231,-775,11,10,17.55472,231.59857,-2.27112,221.24192,65.48486,-0.5667,74.99695,-5.27506
MF,1438313.5,1438313.631,1438313.754,-775,11,21,6.09556,225.40377,0.38605,231.98245,289.26086,-0.5667,287.63286,-6.9535
ML,1438575.5,1438575.571,1438575.694,-774,8,10,4.66167,122.77871,1.25821,128.34223,244.12836,-0.5667,243.12304,-6.18137
EF,1438631.5,1438632.139,1438632.262,-774,10,5,18.29083,193.634,0.63195,184.4746,84.53678,-0.5667,91.86715,-6.11479
EL,1438885.5,1438886.188,1438886.311,-773,6,16,19.46917,83.62056,-2.95869,75.73989,115.41181,-0.5667,122.23718,-5.50407
MF,1438899.5,1438899.551,1438899.675,-773,6,30,4.19667,75.76983,-5.49037,88.50424,248.43669,-0.5667,235.89505,-6.50481
ML,1439144.5,1439144.637,1439144.76,-772,3,1,6.24333,321.73965,-1.39952,333.20915,288.60965,-0.5667,278.49039,-6.18103
EF,1439209.5,1439210.17,1439210.294,-772,5,5,19.04444,42.37464,-0.03007,36.45452,109.34908,-0.5667,111.11391,-6.21892
EL,1439476.5,1439477.123,1439477.246,-771,1,27,17.90306,303.98182,8.03783,300.73695,76.30461,-0.5667,69.91409,-6.43324
MF,1440063.5,1440063.588,1440063.711,-770,9,6,5.06778,147.21818,-8.45657,154.94437,264.0295,-0.5667,253.99316,-6.08606
ML,1440312.5,1440312.57,1440312.693,-769,5,13,4.63139,32.04301,-0.82798,42.82142,255.71058,-0.5667,246.40332,-6.0973
EF,1440374.5,1440375.195,1440375.318,-769,7,14,19.63778,109.10049,1.29131,102.58467,119.16452,-0.5667,122.92389,-6.04769
EL,1440641.5,1440642.158,1440642.282,-768,4,6,18.75694,13.86017,5.95052,8.72167,103.59708,-0.5667,98.69324,-6.71409
MF,1440646.5,1440646.598,1440646.722,-768,4,11,5.32111,11.06474,5.21385,12.98862,258.56144,-0.5667,259.73348,-5.99875
ML,1440910.5,1440910.655,1440910.779,-768,12,31,6.68583,265.86186,-0.58966,273.08772,299.0986,-0.5667,294.46038,-6.14672
EF,1440963.5,1440964.136,1440964.259,-767,2,22,18.22222,332.51915,-1.35106,326.61548,75.99169,-0.5667,78.60158,-6.03374
EL,1441221.5,1441222.11,1441222.233,-767,11,7,17.59167,229.35818,-2.76974,218.2417,65.6466,-0.5667,76.12143,-5.23271
MF,1441232.5,1441232.632,1441232.755,-767,11,18,6.12528,223.20897,-0.15116,228.98068,289.0843,-0.5667,287.25714,-6.04489
ML,1441495.5,1441495.57,1441495.693,-766,8,8,4.64222,120.9742,1.2371,126.45683,243.63873,-0.5667,242.57192,-6.085
EF,1441550.5,1441551.141,1441551.265,-766,10,2,18.35306,190.55282,0.70563,181.51872,86.07645,-0.5667,93.28033,-6.08285
EL,1441805.5,1441806.186,1441806.31,-765,6,14,19.43444,81.27383,-2.72426,73.90061,115.53951,-0.5667,121.80839,-5.31775
MF,1441818.5,1441818.554,1441818.677,-765,6,27,4.25417,73.95198,-5.14913,85.70709,248.26391,-0.5667,236.55468,-5.83384
ML,1442064.5,1442064.638,1442064.762,-764,2,28,6.28028,319.94479,-1.38672,331.31245,289.30569,-0.5667,279.30963,-6.19065
EF,1442128.5,1442129.168,1442129.291,-764,5,2,18.99333,39.37302,-0.11295,33.66167,108.09661,-0.5667,109.78561,-6.02482
EL,1442396.5,1442397.12,1442397.243,-763,1,25,17.83278,301.40751,7.95259,298.79444,75.51972,-0.5667,69.07625,-5.92142
MF,1442983.5,1442983.585,1442983.708,-762,9,4,4.9975,144.64019,-8.49256,153.02595,263.04631,-0.5667,252.74973,-6.60182
ML,1443231.5,1443231.572,1443231.695,-761,5,10,4.68806,29.05063,-0.89617,40.03123,257.07002,-0.5667,247.51717,-6.08839
EF,1443294.5,1443295.195,1443295.319,-761,7,12,19.64833,107.30946,1.27309,100.72925,119.44624,-0.5667,123.20016,-6.12368
EL,1443561.5,1443562.156,1443562.279,-760,4,4,18.69972,11.52082,6.13453,6.85749,102.67469,-0.5667,97.47469,-6.25653
MF,1443565.5,1443565.602,1443565.726,-760,4,8,5.41361,9.34949,5.59143,10.17349,258.97276,-0.5667,261.2755,-5.72982
ML,1443830.5,1443830.655,1443830.778,-760,12,29,6.67306,264.0295,-0.54974,271.11739,298.95259,-0.5667,294.5082,-6.12269
EF,1443883.5,1443884.135,1443884.259,-759,2,20,18.20417,330.71319,-1.36527,324.70034,75.18702,-0.5667,77.87565,-6.11766
EL,1444139.5,1444140.114,1444140.238,-759,11,3,17.70861,227.60088,-3.45842,214.22828,65.45605,-0.5667,78.19726,-5.94032
MF,1444152.5,1444152.628,1444152.752,-759,11,16,6.03639,220.44849,-0.43169,226.99668,288.35529,-0.5667,286.12455,-6.74029
ML,1444414.5,1444414.568,1444414.691,-758,8,5,4.58833,117.91637,1.19452,123.58953,242.88429,-0.5667,241.57044,-6.21366
EF,1444469.5,1444470.144,1444470.267,-758,9,29,18.41583,187.4623,0.77684,178.55768,87.63123,-0.5667,94.70166,-6.05353
EL,1444724.5,1444725.19,1444725.313,-757,6,11,19.51583,79.49043,-2.25355,71.10124,115.95629,-0.5667,122.31356,-6.49931
MF,1444738.5,1444738.553,1444738.676,-757,6,25,4.2225,71.61692,-4.93585,83.85002,248.36785,-0.5667,236.40022,-6.13631
ML,1444985.5,1444985.64,1444985.763,-756,2,27,6.3125,319.37457,-1.38359,330.39005,289.52119,-0.5667,279.82409,-6.00531
EF,1445048.5,1445049.167,1445049.291,-756,4,30,18.97556,37.58654,-0.15601,31.80927,107.3353,-0.5667,109.03093,-6.09282
EL,1445316.5,1445317.117,1445317.24,-755,1,23,17.76167,298.82171,7.85952,296.83946,74.77133,-0.5667,68.26648,-5.41482
