Mercury,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
EL,1430602.274,-796,10,10,18.5775,211.44501,-2.67001,189.92866,73.1628,-0.5667,92.15373,-11.24425
MF,1430622.715,-796,10,31,5.16528,197.08701,2.22563,210.6756,275.21752,-0.5667,275.36525,-14.33219
ML,1430663.753,-796,12,11,6.08083,242.05168,-0.94879,252.55795,295.36188,-0.5667,290.5183,-9.95084
EF,1430695.255,-795,1,11,18.11861,296.08205,-1.30069,284.53795,63.77926,-0.5667,69.50298,-10.69471
EL,1430718.27,-795,2,3,18.47722,318.1566,3.53541,307.62653,75.99082,-0.5667,75.13222,-11.6353
MF,1430733.743,-795,2,19,5.82667,306.42325,2.19005,322.97498,289.41309,-0.5667,278.53508,-13.31532
ML,1430772.723,-795,3,30,5.34333,341.89168,-2.35304,1.02734,280.62733,-0.5667,263.56324,-9.69312
EF,1430800.304,-795,4,26,19.29889,38.18361,1.5183,27.50583,109.01593,-0.5667,110.07433,-11.2993
EL,1430843.327,-795,6,8,19.83944,82.94331,-3.00737,68.47676,114.66524,-0.5667,124.75371,-11.41928
MF,1430869.654,-795,7,5,3.68917,75.07916,-2.23896,93.62294,245.18963,-0.5667,231.28992,-13.17984
ML,1430886.673,-795,7,22,4.15083,99.74865,1.32989,110.00162,240.29257,-0.5667,236.12546,-10.03754
EF,1430922.311,-795,8,26,19.47,162.84645,-0.40809,144.77096,97.90232,-0.5667,113.00367,-10.64756
EL,1430950.289,-795,9,23,18.92694,195.36233,-3.0581,172.58648,79.8706,-0.5667,100.42158,-11.09638
MF,1430971.709,-795,10,15,5.02056,181.29927,1.50402,194.17078,268.65978,-0.5667,268.45257,-13.52268
ML,1431009.743,-795,11,22,5.84306,223.48623,-0.31725,232.90283,288.93682,-0.5667,286.20862,-9.58906
EF,1431045.251,-795,12,27,18.01389,282.2356,-1.57623,269.1017,61.03813,-0.5667,68.88486,-11.25338
EL,1431066.262,-794,1,17,18.28972,301.34803,3.0544,290.34717,70.16943,-0.5667,71.10532,-11.94082
MF,1431079.75,-794,1,31,6.01194,289.35536,3.2019,303.86827,292.24473,-0.5667,284.89684,-13.51718
ML,1431122.737,-794,3,15,5.69333,328.2371,-2.30163,346.26166,286.56332,-0.5667,270.68101,-9.52463
EF,1431149.295,-794,4,10,19.08194,22.05784,1.1508,11.93708,101.80534,-0.5667,102.36973,-10.73654
EL,1431189.32,-794,5,20,19.67167,63.50098,-1.70263,50.16102,113.33723,-0.5667,120.11389,-12.21184
MF,1431223.653,-794,6,24,3.66722,63.62682,-1.55866,82.8617,246.46437,-0.5667,231.61674,-13.05193
ML,1431234.667,-794,7,5,3.99833,81.88761,0.75232,93.39996,240.85879,-0.5667,234.19283,-10.00796
EF,1431263.327,-794,8,2,19.84833,136.2639,0.86544,121.05276,110.37793,-0.5667,121.76984,-10.76242
EL,1431299.303,-794,9,7,19.27389,179.72984,-3.31148,156.39007,86.92776,-0.5667,108.14454,-11.09981
MF,1431321.699,-794,9,30,4.76778,165.03829,0.94031,178.77018,261.64444,-0.5667,260.51626,-14.28481
ML,1431353.73,-794,11,1,5.51694,201.80682,0.56553,211.20934,279.12888,-0.5667,278.16016,-9.93665
EF,1431394.246,-794,12,11,17.90472,266.84391,-1.89804,252.5671,59.98979,-0.5667,70.0484,-10.93395
EL,1431415.252,-793,1,1,18.0475,284.56579,2.5122,273.93172,66.22253,-0.5667,68.89804,-11.16194
MF,1431426.754,-793,1,13,6.09139,272.90098,3.6318,285.56458,293.35052,-0.5667,289.03837,-13.0199
ML,1431471.749,-793,2,27,5.97806,313.11311,-2.22629,330.38869,292.31182,-0.5667,277.52333,-9.88698
EF,1431499.291,-793,3,26,18.97806,7.91973,0.86748,357.24246,95.00139,-0.5667,95.5986,-11.2623
EL,1431535.308,-793,5,1,19.39306,43.50544,-0.16144,31.82323,109.12925,-0.5667,112.37487,-11.79712
ML,1431582.667,-793,6,18,3.99806,63.91957,0.03604,76.91522,244.51178,-0.5667,235.24749,-9.72856
EF,1431607.332,-793,7,12,19.96361,113.17142,1.58342,100.52665,117.97157,-0.5667,125.84039,-10.62603
EL,1431648.317,-793,8,22,19.61528,163.86593,-3.48553,140.3494,94.11587,-0.5667,115.41445,-11.39352
MF,1431670.692,-793,9,14,4.60278,149.17034,0.07485,162.49652,255.574,-0.5667,252.95946,-13.63926
ML,1431698.719,-793,10,12,5.25389,181.33485,1.27198,190.64342,268.92492,-0.5667,268.96884,-9.96092
EF,1431743.246,-793,11,25,17.91083,251.70182,-2.13445,235.97963,61.2239,-0.5667,73.52571,-10.67367
EL,1431763.249,-793,12,15,17.96861,268.77617,1.47292,256.3943,64.0283,-0.5667,69.8986,-11.58856
MF,1431775.746,-793,12,28,5.91361,255.72257,3.57824,269.1139,292.54767,-0.5667,289.51783,-14.09117
ML,1431821.759,-792,2,12,6.2225,299.94749,-2.10506,315.3441,296.21557,-0.5667,283.5137,-9.60301
EF,1431848.283,-792,3,9,18.785,351.68757,0.35446,341.44779,86.81399,-0.5667,87.84708,-10.76098
EL,1431880.3,-792,4,10,19.19056,23.79209,1.62248,12.43726,103.09158,-0.5667,103.47477,-12.02904
ML,1431929.672,-792,5,30,4.13306,44.0979,-0.91161,59.54827,251.50774,-0.5667,238.93944,-9.68636
EF,1431954.33,-792,6,23,19.91833,94.50086,1.83994,83.04549,120.68717,-0.5667,126.27475,-10.75161
EL,1431998.327,-792,8,6,19.84389,147.74287,-3.6975,125.44227,100.84897,-0.5667,120.86364,-11.30117
MF,1432019.684,-792,8,28,4.41694,133.1377,-0.80987,146.38393,250.42481,-0.5667,245.8854,-13.05165
ML,1432044.709,-792,9,22,5.00556,161.91546,1.71862,171.26621,259.37108,-0.5667,259.60839,-10.06976
EF,1432092.252,-792,11,8,18.045,236.79588,-2.29095,219.39623,64.45943,-0.5667,78.96249,-10.56824
EL,1432111.249,-792,11,27,17.96472,253.12741,0.29224,238.79556,63.90002,-0.5667,73.23795,-11.49943
MF,1432124.738,-792,12,11,5.71556,239.08373,3.36644,252.5676,289.58195,-0.5667,288.01505,-14.37019
ML,1432170.765,-791,1,26,6.35139,285.31583,-1.9324,299.15514,298.99809,-0.5667,288.33986,-9.66274
EF,1432198.278,-791,2,22,18.68,337.49281,0.00231,326.49312,79.9486,-0.5667,81.76459,-11.41757
EL,1432226.29,-791,3,22,18.95861,4.44605,2.8493,353.86484,95.49205,-0.5667,94.07787,-11.43023
ML,1432276.684,-791,5,12,4.41083,24.50522,-1.72861,42.20041,260.25391,-0.5667,244.89035,-9.64167
EF,1432302.323,-791,6,6,19.74889,77.19836,1.87717,66.59765,120.05184,-0.5667,123.71275,-10.69691
EL,1432347.335,-791,7,21,20.03583,130.74901,-3.73789,109.69838,107.02768,-0.5667,125.39194,-11.71122
MF,1432369.672,-791,8,13,4.13472,116.73851,-1.3298,131.40302,246.27658,-0.5667,239.31368,-13.57615
ML,1432391.698,-791,9,4,4.75083,143.58829,1.88195,153.08009,251.27735,-0.5667,250.94607,-10.23598
