Mercury,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1430345.5,1430346.138,1430346.261,-796,1,28,18.26416,311.81111,-0.85485,300.82996,68.30583,-0.5667,72.67742,-10.68753
EL,1430369.5,1430370.155,1430370.279,-796,2,21,18.69049,335.72912,3.64138,324.69454,82.99305,-0.5667,81.70574,-12.10906
MF,1430392.5,1430392.602,1430392.725,-796,3,15,5.40454,324.51031,-0.37019,346.68813,286.31168,-0.5667,267.80515,-13.04637
ML,1430421.5,1430421.584,1430421.708,-796,4,13,4.98541,354.07828,-2.45412,14.68486,275.17274,-0.5667,256.39621,-9.5867
EF,1430449.5,1430450.189,1430450.312,-796,5,11,19.49578,52.03259,1.67043,42.01113,114.76487,-0.5667,116.79541,-10.52248
EL,1430494.5,1430495.214,1430495.338,-796,6,25,20.10038,102.13003,-3.53679,84.89428,114.20862,-0.5667,128.32533,-11.17792
MF,1430519.5,1430519.531,1430519.654,-796,7,20,3.69504,91.09719,-1.92598,108.24275,243.11931,-0.5667,231.28253,-13.2186
ML,1430538.5,1430538.556,1430538.679,-796,8,8,4.30589,117.26908,1.70254,126.70028,242.09529,-0.5667,239.56403,-9.81219
EF,1430587.5,1430588.162,1430588.285,-796,9,26,18.84051,197.64376,-2.28689,175.79187,79.43098,-0.5667,99.11806,-10.54505
EL,1430597.5,1430598.154,1430598.277,-796,10,6,18.65269,208.65641,-2.78086,185.8521,73.86557,-0.5667,94.4574,-11.00153
MF,1430622.5,1430622.593,1430622.716,-796,10,31,5.18518,197.10973,2.21902,210.63538,275.33744,-0.5667,274.96905,-14.26497
ML,1430663.5,1430663.633,1430663.757,-796,12,11,6.15866,241.99371,-0.94518,252.52015,295.96134,-0.5667,290.73435,-9.7672
EF,1430695.5,1430696.131,1430696.255,-795,1,12,18.11682,297.8065,-1.17459,285.50577,63.71063,-0.5667,69.92374,-11.27134
EL,1430717.5,1430718.145,1430718.268,-795,2,3,18.43946,318.17662,3.52964,307.58478,75.6762,-0.5667,75.26762,-11.71742
MF,1430734.5,1430734.619,1430734.742,-795,2,20,5.81963,306.08764,1.95738,323.92236,290.24383,-0.5667,277.71408,-13.52241
ML,1430770.5,1430770.6,1430770.723,-795,3,28,5.36136,338.45283,-2.45356,359.05649,282.56446,-0.5667,263.91274,-9.84272
EF,1430799.5,1430800.183,1430800.306,-795,4,26,19.35337,38.10541,1.51351,27.46946,109.46751,-0.5667,110.93811,-11.2088
EL,1430842.5,1430843.207,1430843.33,-795,6,8,19.92107,82.95515,-2.99852,68.44161,115.32217,-0.5667,125.8631,-11.04458
MF,1430871.5,1430871.525,1430871.648,-795,7,7,3.55467,76.6379,-1.73576,95.49665,243.71475,-0.5667,229.54162,-13.27332
ML,1430886.5,1430886.545,1430886.669,-795,7,22,4.05097,99.66248,1.32488,109.95863,239.49253,-0.5667,234.88768,-9.88151
EF,1430925.5,1430926.187,1430926.311,-795,8,30,19.45581,168.62262,-0.89594,148.67792,94.85359,-0.5667,112.22591,-10.58776
EL,1430945.5,1430946.17,1430946.294,-795,9,19,19.04908,192.61547,-2.93921,168.54576,81.08524,-0.5667,103.07863,-11.06327
MF,1430971.5,1430971.586,1430971.709,-795,10,15,5.0213,181.32247,1.49452,194.12996,268.62863,-0.5667,267.93606,-13.44138
ML,1431008.5,1431008.62,1431008.743,-795,11,21,5.83667,221.87871,-0.20248,231.83994,288.64226,-0.5667,285.59659,-10.05837
EF,1431044.5,1431045.123,1431045.247,-795,12,27,17.91713,282.15992,-1.58074,269.05668,60.29772,-0.5667,68.58436,-10.87955
EL,1431065.5,1431066.136,1431066.26,-794,1,17,18.2332,301.37013,3.04483,290.30422,69.69866,-0.5667,71.12006,-11.95179
MF,1431079.5,1431079.63,1431079.754,-794,1,31,6.08469,289.37819,3.20868,303.83103,292.76314,-0.5667,284.94591,-13.1755
ML,1431120.5,1431120.615,1431120.738,-794,3,13,5.71347,324.75819,-2.34879,344.2742,288.4658,-0.5667,271.05915,-9.86095
EF,1431148.5,1431149.173,1431149.296,-794,4,10,19.11335,21.977,1.14457,11.89958,102.06547,-0.5667,103.01178,-10.66454
EL,1431188.5,1431189.199,1431189.323,-794,5,20,19.74849,63.51123,-1.6925,50.1257,113.95909,-0.5667,121.21487,-11.97483
ML,1431234.5,1431234.539,1431234.663,-794,7,5,3.90137,81.80107,0.74508,93.35741,240.09448,-0.5667,232.99287,-9.74171
EF,1431263.5,1431264.207,1431264.33,-794,8,3,19.9214,137.83494,0.76384,121.98882,110.19197,-0.5667,122.60502,-10.53811
EL,1431295.5,1431296.185,1431296.309,-794,9,4,19.40608,178.08257,-3.11831,153.37836,87.88274,-0.5667,110.53732,-11.20432
MF,1431321.5,1431321.574,1431321.698,-794,9,30,4.74716,165.05368,0.92942,178.72876,261.44392,-0.5667,259.79494,-14.17529
ML,1431353.5,1431353.607,1431353.731,-794,11,1,5.54171,201.74555,0.56994,211.16931,279.29181,-0.5667,277.97182,-9.91578
EF,1431394.5,1431395.121,1431395.244,-794,12,12,17.86034,268.38645,-1.8302,253.54382,59.2803,-0.5667,69.95724,-11.1067
EL,1431414.5,1431415.126,1431415.249,-793,1,1,17.97773,284.5935,2.50019,273.88788,65.63829,-0.5667,68.78966,-11.10181
MF,1431427.5,1431427.629,1431427.752,-793,1,14,6.05829,272.20241,3.52448,286.53067,294.06013,-0.5667,288.17129,-14.1135
ML,1431470.5,1431470.627,1431470.751,-793,2,26,6.02158,311.34986,-2.22252,329.36726,293.46164,-0.5667,277.78471,-9.85233
EF,1431498.5,1431499.168,1431499.291,-793,3,26,18.98914,7.83829,0.86036,357.20388,95.09391,-0.5667,96.09035,-11.18945
EL,1431534.5,1431535.187,1431535.311,-793,5,1,19.45542,43.51603,-0.15116,31.78722,109.63675,-0.5667,113.33018,-11.70878
