Jupiter,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
AR,1434712.236,-784,1,11,17.66861,110.39334,1.07299,283.8428,242.47644,0,66.27696,-5.44568
CS,1434725.778,-784,1,25,6.68083,108.61835,1.09875,297.47086,117.87016,0,291.06107,-5.77567
EL,1434901.33,-784,7,18,19.91722,121.20656,0.96866,107.10109,114.92877,0,124.65074,-10.31465
MF,1434933.689,-784,8,20,4.54778,128.21777,1.00008,138.58588,247.09338,0,244.80638,-10.16424
AR,1435108.253,-783,2,10,18.075,140.80858,1.64945,314.66308,250.80679,0,73.86636,-5.58087
CS,1435123.763,-783,2,26,6.31778,138.81837,1.66093,329.98513,109.96703,0,280.19109,-5.67133
EL,1435295.318,-783,8,16,19.62611,151.02377,1.22851,135.0396,104.56052,0,116.7874,-10.44662
MF,1435329.705,-783,9,20,4.93194,158.48943,1.23247,169.0866,258.70065,0,258.17617,-10.65503
AR,1435504.268,-782,3,13,18.435,171.05093,1.77599,344.92957,263.88637,0,86.47683,-5.82459
CS,1435520.737,-782,3,30,5.68194,168.96642,1.76703,0.9049,97.07829,0,266.27788,-5.41327
EL,1435690.294,-782,9,15,19.04889,181.18568,1.15316,164.43429,90.67468,0,103.90392,-10.4323
MF,1435724.722,-782,10,20,5.3275,188.7821,1.12609,199.09233,272.92183,0,272.63457,-10.36695
AR,1435901.281,-781,4,14,18.74,201.90756,1.41175,15.63223,278.60214,0,101.01676,-5.96285
CS,1435916.71,-781,4,30,5.03611,199.95872,1.38595,30.39702,82.237,0,252.97138,-5.02259
EL,1436087.266,-781,10,17,18.38667,212.52794,0.74369,196.35791,76.13053,0,88.62173,-10.37756
MF,1436120.74,-781,11,20,5.75861,220.1122,0.69341,230.44962,286.91269,0,285.09681,-10.20172
AR,1436300.295,-780,5,17,19.06861,234.04826,0.6052,47.87219,291.74559,0,114.30191,-5.65643
CS,1436313.689,-780,5,31,4.53306,232.34437,0.57182,60.61323,68.73341,0,242.18559,-5.09292
EL,1436487.245,-780,11,20,17.88972,245.78033,0.08486,231.73117,64.62475,0,74.44402,-10.09803
MF,1436519.758,-780,12,23,6.19278,253.36805,0.02567,264.89998,296.83544,0,291.56651,-10.27243
AR,1436701.308,-779,6,22,19.39306,267.93831,-0.45218,81.93922,298.66961,0,121.63391,-5.23739
CS,1436712.685,-779,7,4,4.42806,266.46628,-0.48229,92.82388,61.33245,0,237.95532,-5.41107
EL,1436888.248,-779,12,26,17.94222,280.67545,-0.62721,268.1982,61.6309,0,68.45688,-10.48795
MF,1436923.761,-778,1,31,6.26056,289.13736,-0.68431,303.99953,297.27817,0,286.61527,-10.43586
AR,1437103.308,-778,7,29,19.38861,303.54107,-1.39687,117.27943,294.77526,0,118.46587,-5.25064
CS,1437113.7,-778,8,9,4.80056,302.16747,-1.41544,127.3848,64.8154,0,244.3102,-5.38182
EL,1437291.264,-777,2,2,18.34278,317.09434,-1.12293,306.25751,70.00226,0,73.88918,-10.185
MF,1437330.736,-777,3,14,5.655,326.52865,-1.15647,345.17965,286.35881,0,270.69925,-10.32476
