Mars,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1437846.5,1437846.539,1437846.663,-776,8,11,3.90874,114.65593,1.16602,129.75801,242.13126,-0.5667,236.32088,-14.58103
AR,1438178.5,1438179.196,1438179.319,-775,7,9,19.65702,281.29186,-6.56405,98.21366,306.08694,-0.5667,123.51704,-6.2112
CS,1438183.5,1438184.557,1438184.681,-775,7,15,4.34021,279.86774,-6.66909,103.37097,53.62303,-0.5667,237.14583,-6.09112
EL,1438519.5,1438520.22,1438520.343,-774,6,15,20.23349,90.43456,1.12974,75.05014,120.71447,-0.5667,129.44308,-13.34094
MF,1438610.5,1438610.563,1438610.686,-774,9,14,4.46325,148.50774,1.10389,162.84237,253.75451,-0.5667,251.31919,-14.73993
AR,1438978.5,1438979.156,1438979.28,-773,9,17,18.7087,352.92206,-3.78425,166.18793,277.18894,-0.5667,100.83063,-6.24427
CS,1438988.5,1438989.597,1438989.72,-773,9,28,5.28052,349.32657,-3.21277,176.6419,81.71161,-0.5667,263.59626,-7.19508
EL,1439277.5,1439278.225,1439278.349,-772,7,12,20.3725,119.89279,1.16849,101.38575,116.57166,-0.5667,130.05996,-13.42725
MF,1439380.5,1439380.587,1439380.71,-772,10,23,5.0408,188.44813,0.56051,202.65432,273.07866,-0.5667,271.15722,-14.65626
AR,1439752.5,1439753.12,1439753.243,-771,10,30,17.84078,43.08343,0.59201,210.07391,249.65953,-0.5667,80.45663,-6.74862
CS,1439766.5,1439767.628,1439767.752,-771,11,14,6.04442,37.45632,1.19474,224.86284,108.83874,-0.5667,285.69897,-6.24901
EL,1440036.5,1440037.214,1440037.337,-770,8,10,20.08778,150.8668,0.8293,128.99658,104.91533,-0.5667,122.82964,-13.3803
MF,1440169.5,1440169.621,1440169.744,-770,12,21,5.86697,246.47208,-0.52598,262.37084,296.50111,-0.5667,288.87195,-14.57197
AR,1440520.5,1440521.103,1440521.226,-769,12,7,17.43012,80.4351,3.27643,248.34378,237.01333,-0.5667,67.61794,-6.11987
CS,1440536.5,1440537.649,1440537.772,-769,12,24,6.52688,73.93726,3.65482,265.20197,122.6401,-0.5667,293.69114,-7.20423
EL,1440806.5,1440807.178,1440807.302,-768,9,18,19.24231,191.679,0.01786,167.99566,84.785,-0.5667,104.96633,-13.26725
MF,1441028.5,1441028.552,1441028.675,-767,4,28,4.19859,1.02629,-0.86782,28.99138,270.08227,-0.5667,245.59746,-14.60053
AR,1441285.5,1441286.115,1441286.238,-766,1,10,17.7155,114.16294,4.49859,283.42786,237.88773,-0.5667,66.82781,-6.89482
CS,1441303.5,1441304.654,1441304.777,-766,1,29,6.64683,107.0079,4.56622,302.0615,123.63825,-0.5667,289.62226,-6.59815
EL,1441629.5,1441630.13,1441630.253,-766,12,20,18.07482,277.94041,-1.11451,261.8938,60.46878,-0.5667,70.38768,-13.30144
MF,1441798.5,1441798.521,1441798.644,-765,6,7,3.45943,42.68991,-0.0211,66.59983,250.5208,-0.5667,230.96669,-14.64069
AR,1442052.5,1442053.136,1442053.26,-764,2,16,18.2325,149.06623,4.34777,319.97233,250.30526,-0.5667,76.71801,-7.21286
CS,1442071.5,1442072.632,1442072.755,-764,3,7,6.12499,141.79995,3.99475,339.14884,112.37423,-0.5667,275.86502,-6.13075
EL,1442439.5,1442440.167,1442440.291,-763,3,9,18.98068,354.37993,-0.48179,341.3902,87.13499,-0.5667,89.83,-13.28812
MF,1442556.5,1442556.518,1442556.641,-763,7,4,3.38788,73.57538,0.6585,92.86899,241.17472,-0.5667,227.86329,-14.69238
AR,1442827.5,1442828.155,1442828.279,-762,4,1,18.69074,191.11113,2.05942,3.46476,272.70023,-0.5667,96.05842,-6.60628
CS,1442844.5,1442845.589,1442845.712,-762,4,19,5.09524,185.11897,1.25425,20.22129,89.27896,-0.5667,255.88864,-6.57786
EL,1443219.5,1443220.191,1443220.315,-761,4,28,19.55776,42.36226,0.4464,29.1744,109.896,-0.5667,113.40474,-13.29603
MF,1443314.5,1443314.531,1443314.654,-761,8,1,3.70567,103.29627,1.0868,119.4021,240.19841,-0.5667,232.49889,-14.80197
AR,1443623.5,1443624.186,1443624.309,-760,6,5,19.4224,251.35839,-4.25714,66.07696,302.06929,-0.5667,120.9502,-6.12041
CS,1443631.5,1443632.553,1443632.676,-760,6,14,4.2244,249.06994,-4.7501,74.04354,57.75603,-0.5667,237.35212,-6.29485
EL,1443986.5,1443987.213,1443987.337,-759,6,3,20.08546,78.45173,1.01629,63.96517,119.92104,-0.5667,126.95788,-13.30591
MF,1444075.5,1444075.554,1444075.677,-759,8,31,4.25131,134.88088,1.18004,149.30241,248.22057,-0.5667,244.76577,-14.62652
AR,1444434.5,1444435.176,1444435.3,-758,8,25,19.19584,327.75305,-5.72511,143.7566,291.04105,-0.5667,111.16573,-6.41039
CS,1444441.5,1444442.585,1444442.708,-758,9,2,4.9996,325.45314,-5.38737,151.0715,68.35451,-0.5667,252.13978,-6.23185
EL,1444746.5,1444747.224,1444747.348,-757,7,3,20.34916,109.14572,1.19523,92.14489,119.02999,-0.5667,130.5469,-13.2257
MF,1444842.5,1444842.577,1444842.701,-757,10,7,4.81463,171.73212,0.83613,185.79376,264.72722,-0.5667,263.08099,-14.55832
AR,1445215.5,1445216.132,1445216.256,-756,10,14,18.13755,25.89861,-0.90953,194.1946,258.46664,-0.5667,87.64638,-6.77467
CS,1445228.5,1445229.617,1445229.741,-756,10,28,5.77341,20.79638,-0.26328,207.87862,99.95427,-0.5667,278.80396,-6.42679
EL,1445504.5,1445505.219,1445505.343,-755,7,30,20.22265,138.99991,1.0037,118.65826,110.01979,-0.5667,126.12896,-13.21945
MF,1445620.5,1445620.606,1445620.729,-755,11,23,5.49751,219.58824,-0.03494,234.1383,287.56539,-0.5667,283.50048,-14.55073
AR,1445985.5,1445986.105,1445986.228,-754,11,23,17.48156,66.79641,2.43853,234.40235,240.23743,-0.5667,71.02232,-6.03229
CS,1446000.5,1446001.642,1446001.765,-754,12,9,6.36927,60.6863,2.9077,250.26568,118.84615,-0.5667,292.19843,-6.92646
EL,1446267.5,1446268.195,1446268.319,-753,9,1,19.65001,173.83673,0.39798,150.46963,93.78098,-0.5667,113.5706,-13.29311
MF,1446473.5,1446473.587,1446473.71,-752,3,25,5.04485,330.0531,-1.14885,356.70057,284.85687,-0.5667,261.86226,-14.51288
AR,1446750.5,1446751.109,1446751.233,-752,12,27,17.59017,101.48856,4.16775,269.59817,236.08519,-0.5667,66.11757,-7.07053
CS,1446767.5,1446768.657,1446768.781,-751,1,14,6.73481,94.64755,4.38122,287.35267,124.74747,-0.5667,293.10695,-6.16221
EL,1447061.5,1447062.139,1447062.262,-751,11,3,18.29995,235.14591,-0.7631,214.30279,66.15727,-0.5667,82.85452,-13.27292
MF,1447264.5,1447264.528,1447264.652,-750,5,25,3.63674,28.85343,-0.34094,54.58241,256.52836,-0.5667,234.70588,-14.59253
AR,1447516.5,1447517.128,1447517.252,-749,2,1,18.04148,135.22507,4.58909,305.40541,244.33621,-0.5667,71.79474,-7.30283
CS,1447535.5,1447536.643,1447536.766,-749,2,21,6.38996,127.83529,4.4091,324.77559,118.09138,-0.5667,281.97758,-6.30033
EL,1447893.5,1447894.155,1447894.279,-748,2,13,18.68637,330.33875,-0.84844,317.13315,75.60493,-0.5667,79.47147,-13.23253
MF,1448024.5,1448024.517,1448024.641,-748,6,23,3.37367,61.86333,0.41693,82.68723,243.88347,-0.5667,228.27744,-14.55785
AR,1448287.5,1448288.148,1448288.271,-747,3,13,18.51379,173.51407,3.30434,345.39256,262.87227,-0.5667,87.51501,-6.87273
CS,1448305.5,1448306.608,1448306.732,-747,4,1,5.55668,166.88657,2.67457,3.29038,99.61518,-0.5667,264.36904,-6.097
EL,1448680.5,1448681.183,1448681.306,-746,4,10,19.34563,25.41277,0.11299,12.2784,102.46487,-0.5667,105.2142,-13.41622
MF,1448781.5,1448781.525,1448781.648,-746,7,20,3.56104,91.28046,0.94972,108.14253,239.51999,-0.5667,229.89506,-14.51805
AR,1449072.5,1449073.173,1449073.296,-745,5,7,19.11019,225.14837,-1.2577,37.8694,291.08146,-0.5667,112.10065,-6.74921
CS,1449084.5,1449085.565,1449085.688,-745,5,20,4.51827,221.37523,-2.04621,49.67093,69.42136,-0.5667,243.94916,-6.00077
EL,1449452.5,1449453.206,1449453.329,-744,5,21,19.89563,65.68776,0.84515,51.94889,117.55089,-0.5667,123.02178,-13.2191
MF,1449541.5,1449541.545,1449541.668,-744,8,18,4.03673,122.0975,1.1886,136.85771,244.01851,-0.5667,239.19059,-14.58319
AR,1449884.5,1449885.195,1449885.318,-743,7,27,19.63377,299.03599,-6.84169,115.82196,302.8889,-0.5667,121.02843,-6.75744
CS,1449890.5,1449891.565,1449891.689,-743,8,3,4.52805,297.29635,-6.77572,122.00039,56.72301,-0.5667,240.75993,-6.62395
EL,1450213.5,1450214.223,1450214.346,-742,6,21,20.3099,97.19032,1.16944,81.0314,120.50807,-0.5667,130.38619,-13.47999
